"","Super class","Foldchange (young vs aged)","P value"
"ACar(6:0)","",5.06,8.42e-17
"Adenosine monophosphate","Nucleosides, nucleotides, and analogues",29.1,2.19e-15
"Inosinic acid","Nucleosides, nucleotides, and analogues",43.1,9.62e-15
"21-Hydroxy-5b-pregnane-3,11,20-trione","Lipids and lipid-like molecules",2.99,2.29e-13
"Val Lys Ser","Organic acids and derivatives",2.87,6.69e-13
"2'-Apo-beta-carotenal","Lipids and lipid-like molecules",1.88,1e-12
"Spergualin","",3.4,1.52e-12
"MG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0/0:0)","Lipids and lipid-like molecules",3.35,4.03e-12
"PC(O-18:1(1E)/0:0)","Lipids and lipid-like molecules",1.83,4.5e-12
"Guanosine monophosphate","Nucleosides, nucleotides, and analogues",3.98,1.95e-11
"Glutathione","Organic acids and derivatives",10.5,2.45e-11
"Taurine","Organic acids and derivatives",1.85,3.87e-11
"N-stearoyl taurine","",3.45,7.02e-11
"Dicyclohexyl disulfide","Organosulfur compounds",1.82,9.66e-11
"LPS(22:5)","Lipids and lipid-like molecules",1.97,1e-10
"LysoPC(15:0)","Lipids and lipid-like molecules",1.54,1.03e-10
"Gly Val Arg","Organic acids and derivatives",1.99,2.85e-10
"2-(aminomethyl)-1-(3-methoxyphenyl)cyclohexan-1-ol","",3.19,3.11e-10
"Lys Gln Lys Lys","Organic acids and derivatives",1.92,6.55e-10
"Polyethylene, oxidized","Lipids and lipid-like molecules",1.79,8.47e-10
"Perilloside C","Lipids and lipid-like molecules",1.76,8.74e-10
"N-3-oxo-tetradecanoyl-L-Homoserine lactone","",2.2,1.49e-09
"PE(5:0/22:5)","Lipids and lipid-like molecules",2.01,2.19e-09
"LPS(20:4)","Lipids and lipid-like molecules",1.59,2.34e-09
"PC(O-14:0/O-1:0)","Lipids and lipid-like molecules",1.89,3.33e-09
"N-(Heptan-4-yl)benzo[d][1,3]dioxole-5-carboxamide","Organoheterocyclic compounds",2.09,3.91e-09
"[[(2S,3R,4S,5S)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate","",2.42,5.98e-09
"ADP-glucose","Nucleosides, nucleotides, and analogues",2.72,6.63e-09
"Leucyl-Serine","Organic acids and derivatives",2.19,9.04e-09
"21-hydroxy-heneicosanoic acid","",4.21,1.41e-08
"LPC(16:1)","Lipids and lipid-like molecules",1.53,1.53e-08
"Arginyl-Gamma-glutamate","Organic acids and derivatives",1.64,1.91e-08
"[[(2S,3R,4S,5S)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(3R)-3-hydroxy-2,2-dimethyl-4-oxo-4-[[3-oxo-3-(2-sulfanylethylamino)propyl]amino]butyl] hydrogen phosphate","",1.75,2.07e-08
"Myristoleic acid","Lipids and lipid-like molecules",1.76,2.9e-08
"LPI(20:3)","Lipids and lipid-like molecules",1.75,3.46e-08
"Ergoline-8-methanol, 10-methoxy-6-methyl-, (8b)-","",1.55,4.6e-08
"S-Adenosylhomocysteine","Nucleosides, nucleotides, and analogues",2.4,4.73e-08
"Dephospho-CoA","Nucleosides, nucleotides, and analogues",1.59,9.43e-08
"L-Carnitine","Organic nitrogen compounds",1.86,9.5e-08
"Phosphorylcholine","Organic nitrogen compounds",1.62,1.09e-07
"1-Arachidonoylglycerophosphoinositol","Lipids and lipid-like molecules",1.56,1.17e-07
"Bis (2-hydroxypropyl) amine","",7.62,1.17e-07
"(E)-Herclavine","Phenylpropanoids and polyketides",1.6,1.69e-07
