"","Super class","Foldchange (young vs aged)","P value"
"8-isoprostaglandin PGF2b","Lipids and lipid-like molecules",0.314,2.48e-16
"N-3-oxo-tetradecanoyl-L-Homoserine lactone","",0.136,2.94e-16
"cyclohexane-1,4-dicarboxylic acid","",0.224,5.4e-16
"Leptomycin B","",0.0333,5.86e-16
"Estrone","Lipids and lipid-like molecules",0.24,1.45e-15
"FA(22:6)","Lipids and lipid-like molecules",0.32,2.28e-15
"N-Dealkylated tolterodine","Benzenoids",0.218,6.77e-15
"Perilloside C","Lipids and lipid-like molecules",0.263,1.76e-14
"5-[(4,5-dimethoxy-2-methylphenyl)methyl]pyrimidine-2,4-diamine","",0.255,2.57e-14
"Santalyl phenylacetate","Lipids and lipid-like molecules",0.194,3.31e-14
"Psilocin","Organoheterocyclic compounds",0.271,4.87e-14
"8-Isoprostaglandin F2a","Lipids and lipid-like molecules",0.434,5.39e-14
"Val Lys Ser","Organic acids and derivatives",0.117,6.97e-14
"13-OxoODE","Lipids and lipid-like molecules",0.432,8.68e-14
"Acetylenedicarboxylate","",0.415,2.42e-13
"4-hydroxy Nonenal Mercapturic Acid","",0.287,4.3e-13
"Arginyl-Gamma-glutamate","Organic acids and derivatives",0.225,1.1e-12
"Gly Pro Phe","Organic acids and derivatives",0.278,1.42e-12
"21-Hydroxy-5b-pregnane-3,11,20-trione","Lipids and lipid-like molecules",0.154,1.51e-12
"Alline","Organoheterocyclic compounds",0.433,2.7e-12
"Cer/AS(d14:1/13:1)","",0.0201,3.5e-12
"2-[1-[1-hydroxy-10,13-dimethyl-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethyl]-4-(hydroxymethyl)-5-methyl-2,3-dihydropyran-6-one","",0.165,3.69e-12
"FA(22:5)","Lipids and lipid-like molecules",0.327,3.95e-12
"5-(4-Acetoxy-3-oxo-1-butynyl)-2,2'-bithiophene","Organoheterocyclic compounds",0.459,4.94e-12
"Arginyl-Asparagine","Organic acids and derivatives",0.253,6.19e-12
"Cytarabine","Nucleosides, nucleotides, and analogues",0.458,1e-11
"Lauroyl-EA","",0,1.04e-11
"Cer/AS(d15:3/38:2)","",0.448,2.42e-11
"C75","",0.212,2.56e-11
"Propoxur","",0.494,2.63e-11
"Gly Val Arg","Organic acids and derivatives",0.465,6.19e-11
"Leupeptin","",0.0882,6.22e-11
"(R)-2-Amino-3-hydroxypropanoic acid","",0.381,7.01e-11
"5-(1-Pyrrolidinylmethyl)-2-furanmethanol","Organonitrogen compounds",0.198,7.14e-11
"TAG(17:0/17:0/17:0)","Lipids and lipid-like molecules",0.268,8.52e-11
"2,2,6,6-Tetramethyl-4-piperidinone","Organoheterocyclic compounds",0.0361,9.51e-11
"2'-O-Methylglabridin","Phenylpropanoids and polyketides",0.472,1.01e-10
"Lys Tyr Phe Phe","Organic acids and derivatives",0.447,1.95e-10
"Stigmasterol","Lipids and lipid-like molecules",0.413,2.52e-10
"Cer/NDS(d15:0/42:2)","",0.495,3.43e-10
"Lipoxin B4","Lipids and lipid-like molecules",0.429,4.44e-10
"GlcCer(d14:1/18:0)","",0.425,4.53e-10
"(4-Hydroxybenzoyl)choline","Organooxygen compounds",0.458,5.16e-10
"1-(2,3-Dihydro-6,7-dimethyl-1H-pyrrolizin-5-yl)-2-hydroxy-1-propanone","Organoheterocyclic compounds",0.407,8.38e-10
"6-Chloro-N-(1-methylethyl)-1,3,5-triazine-2,4-diamine","Organoheterocyclic compounds",0.462,8.51e-10
"Indolepyruvate","Organoheterocyclic compounds",0.466,9.04e-10
"6,10,14-Trimethyl-5,9,13-pentadecatrien-2-one","Lipids and lipid-like molecules",0.0962,1.06e-09
"Escitalopram","Benzenoids",0.495,1.15e-09
"5,9-dimethyltetracyclo[11.2.1.01,10.04,9]hexadecane-5,14-dicarboxylic acid","",0.309,1.47e-09
"FAHFA(16:0/22:2)","Lipids and lipid-like molecules",0.483,2.02e-09
"Cortisol","Lipids and lipid-like molecules",0.488,2.37e-09
"(17Z)-1alpha,25-dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrovitamin D3 / (17Z)-1alpha,25-dihydroxy-26,27-dimethyl-17,20,22,22,23,23-hexadehydrocholecalciferol","",0,2.48e-09
"(1R,2S,5R,8R,9R,10R,13R,17S)-9-hydroxy-1,13-dimethyl-6-methylidene-11-oxapentacyclo[8.6.1.15,8.02,8.013,17]octadecan-12-one","",0.292,3.5e-09
"TAXOL C","",0.445,4.77e-09
"His Ala Arg Glu","Organic acids and derivatives",0.489,5.01e-09
