"","Super class","Foldchange (young vs aged)","P value"
"Cer/AS(d14:1/13:1)","",0.183,1.59e-13
"6,10,14-Trimethyl-5,9,13-pentadecatrien-2-one","Lipids and lipid-like molecules",0.277,3.6e-13
"Cer/AP(t14:2/15:1)","",0.19,6.94e-13
"Homoarecoline","Alkaloids and derivatives",0.424,8.95e-13
"(Z)-2-(5-Tetradecenyl)cyclobutanone","",0.347,9.04e-13
"Propoxur","",0.44,1.1e-11
"2-(5,8-Tetradecadienyl)cyclobutanone","Organooxygen compounds",0.324,3.84e-11
"2,2,6,6-Tetramethyl-4-piperidinone","Organoheterocyclic compounds",0.281,4.78e-11
"KAPA","",0.429,4.95e-11
"Val Val Val","Organic acids and derivatives",0.484,6.58e-11
"Trichocarposide","Organic oxygen compounds",0.0188,1.3e-10
"L-Tyrosine","Organic acids and derivatives",0.152,1.32e-10
"5,7-Diethyl-9-methyl-3E,5E,7E,9E-tridecatetraene","",0.339,3.35e-10
"7-Ketocholesterol","Lipids and lipid-like molecules",0.476,4.29e-10
"Linoleamide","Lipids and lipid-like molecules",0.344,3.55e-09
"PS(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)","Lipids and lipid-like molecules",0.0425,8.69e-09
"Trihexyphenidyl N-oxide","",0.362,1.49e-08
"(1R,2S,5R,8R,9R,10R,13R,17S)-9-hydroxy-1,13-dimethyl-6-methylidene-11-oxapentacyclo[8.6.1.15,8.02,8.013,17]octadecan-12-one","",0.319,2.37e-08
"Octadecanamide","Lipids and lipid-like molecules",0.574,2.76e-08
"Glyceraldehyde","Organic oxygen compounds",0.516,3.69e-08
"5,9-dimethyltetracyclo[11.2.1.01,10.04,9]hexadecane-5,14-dicarboxylic acid","",0.563,4.21e-08
"(4E,8E,10E-d18:3)sphingosine","",0.341,7.2e-08
"Anandamide (18:4, n-3)","Organic nitrogen compounds",0.356,1.18e-07
"Terbutaline","Benzenoids",0.629,1.99e-07
"11,12-Dimethylrosmanol","Lipids and lipid-like molecules",0.0606,1.99e-07
"Justisolin","Lignans, neolignans and related compounds",0,2.7e-07
"all-trans-Retinoic acid","Lipids and lipid-like molecules",0.08,4.29e-07
"Caryophyllene alpha-oxide","Lipids and lipid-like molecules",0.469,8.29e-07
"Palmitoleoyl Ethanolamide","Organic nitrogen compounds",0.398,8.77e-07
"6-Hydroxy-6a,12a-dehydro-alpha-toxicarol","",0,1.76e-06
"Anandamide (18:3, n-6)","Organic nitrogen compounds",0.48,2.17e-06
"LPE(24:4)","Lipids and lipid-like molecules",0.588,6.89e-06
"Isoniazid alpha-ketoglutaric acid","Organoheterocyclic compounds",0.246,1.09e-05
"Alpha-dimorphecolic acid","Lipids and lipid-like molecules",0.588,1.16e-05
"(R)-Salsolinol","Organoheterocyclic compounds",0.562,1.22e-05
"PS(22:1(11Z)/0:0)","Lipids and lipid-like molecules",0.601,1.78e-05
"OxPI(18:0/20:5+3O(2Cyc))","",0.0726,2.11e-05
"12-HPETE","",0.326,2.95e-05
"L-Proline","Organic acids and derivatives",0.44,3.02e-05
"L-Glutamic acid","Organic acids and derivatives",0.555,3.12e-05
"LPE(20:2)","Lipids and lipid-like molecules",0.465,4.17e-05
"L-Histidine","Organic acids and derivatives",0.552,4.37e-05
"Leukotriene A4-d5 methyl ester","",0.489,8.25e-05
"L-Threonine","Organic acids and derivatives",0.401,9.13e-05
"Robustocin","Lipids and lipid-like molecules",0.2,9.33e-05
"Trimethylamine N-oxide","Organic nitrogen compounds",0.471,0.000132
"Xanthine","Organoheterocyclic compounds",0.451,0.000224
"D-Ribulose 5-phosphate","Organooxygen compounds",0.571,0.000224
"Uridine","Nucleosides, nucleotides, and analogues",0.408,0.000391
"20-ethyl-PGE2","",0.472,0.000442
"Quinolinic acid","Organoheterocyclic compounds",0.665,0.000477
"Jaceidin 7-rhamnoside","",0.658,0.000654
"1-tetradecanoyl-sn-glycero-3-phosphate","Lipids and lipid-like molecules",0.452,0.000925
"3-(1,1-Dimethyl-2-propenyl)-8-(3-methyl-2-butenyl)xanthyletin","Phenylpropanoids and polyketides",0.644,0.00101
"3beta-Hydroxypregn-5-en-20-one sulfate","Lipids and lipid-like molecules",0.305,0.00114
"OxPI(18:0/20:4+3O(2Cyc))","",0.378,0.00114
"(3R,6R,9S,12R,15S,18R,21R)-3-(4-aminobutyl)-21-benzyl-9,15,24-tris[(2S)-butan-2-yl]-12-methyl-18-(2-methylpropyl)-6-propan-2-yl-1,4,7,10,13,16,19,22-octazacyclotetracosane-2,5,8,11,14,17,20,23-octone","",0.344,0.00117
