"","Super class","Foldchange (young vs aged)","P value"
"17-phenoxy trinor PGF2alpha ethyl amide","",458,2.42e-18
"Chloral hydrate","Organohalogen compounds",3.98,4.88e-15
"Adenosine diphosphate ribose","Nucleosides, nucleotides, and analogues",8.13,5.58e-15
"N,N-dimethyldodecan-1-amine oxide","",3.78,9.09e-15
"Ala Arg Trp","Organic acids and derivatives",3.88,1.23e-14
"N-(2-fluro-ethyl)-2,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine","",4.14,1.55e-14
"N,N-dimethyldecan-1-amine oxide","",4.6,1.08e-13
"Phytosphingosine","Organic nitrogen compounds",3.54,1.77e-13
"N,N-dibutylbutan-1-amine","",2.83,4.46e-13
"Triton X 100","Lipids and lipid-like molecules",3.57,5.46e-13
"N-(3E-hexadecenoyl)-deoxysphing-4-enine-1-sulfonate","",2.71,1.23e-12
"Palmitic acid","Lipids and lipid-like molecules",4.39,1.62e-12
"7-Ketodeoxycholic acid","Lipids and lipid-like molecules",2.94,2.75e-12
"Kanzonol K","Phenylpropanoids and polyketides",3.32,3.81e-12
"Asn Val Ser Pro","Organic acids and derivatives",3.82,4.89e-12
"GlcCer(d14:1/18:0)","",2.51,1.25e-11
"1-hexadecyl-glycero-3-phosphate","Lipids and lipid-like molecules",5.4,1.61e-11
"Idebenone","",2.18,3.05e-11
"DGTS(13:0/13:0)","",2.62,5.2e-11
"(3R,7R,9R,10S,12R,14R,18S,19S,22S,23R)-9,10,19,22-tetrahydroxy-7,18-dimethyl-19-(5-oxo-2H-furan-3-yl)-4,6,11-trioxahexacyclo[12.11.0.03,12.05,10.015,23.018,22]pentacosane-14-carbaldehyde","",57.8,5.4e-11
"Polyethylene, oxidized","Lipids and lipid-like molecules",2.57,7.51e-11
"Lucidine B","",2.88,8.93e-11
"Resolvin D2","Lipids and lipid-like molecules",3.75,9.85e-11
"H-9","",Inf,2.09e-10
"Archangelin","Phenylpropanoids and polyketides",4.18,2.35e-10
"4-Hydroxyphenylretinamide","",2.52,2.94e-10
"Lys Arg Lys Gly","Organic acids and derivatives",2.16,3.72e-10
"Dicyclohexyl disulfide","Organosulfur compounds",2.05,5.18e-10
"Prostaglandin F2alpha Ethanolamide-d4","",3.11,9.87e-10
"3-Methoxy-4-hydroxyphenylethylene glycol","",2.31,1.21e-09
"L,L-Cyclo(leucylprolyl)","Organic acids and derivatives",4.62,1.3e-09
"PC(P-16:0/14:1(9Z))","Lipids and lipid-like molecules",2.38,1.4e-09
"dodecyl hydrogen sulfate","",2.18,1.98e-09
"ACar(17:1)","",5.71,2.58e-09
"1,1'-[1,11-Undecanediylbis(oxy)]bisbenzene","Benzenoids",2.24,2.6e-09
"Bis (2-hydroxypropyl) amine","",2.91,3.99e-09
"beta-Doradecin","Lipids and lipid-like molecules",6.01,5.1e-09
"Jasmonic acid","Lipids and lipid-like molecules",2.08,5.57e-09
"N-octadecanoyl-L-Homoserine lactone","",3.24,1.65e-08
"Oleoyl glycine","Organic acids and derivatives",3.49,1.68e-08
"DMABA-d10 NHS ester","",2.15,1.82e-08
"(3R,8E)-3-Hydroxy-5,8-megastigmadien-7-one","Organooxygen compounds",2.25,2.38e-08
"2-dodecoxyethyl hydrogen sulfate","",2.4,2.9e-08
"5,8-Epoxy-5,8-dihydro-10'-apo-b,y-carotene-3,10'-diol","Lipids and lipid-like molecules",10.3,3.07e-08
"DG(13:0/13:0/0:0)","Lipids and lipid-like molecules",38.9,3.22e-08
"Flufenamic acid","",3.07,4.71e-08
"DGTS(14:0/14:0)","",3.14,4.75e-08
"21-hydroxy-heneicosanoic acid","",3.56,6.2e-08
"Palmityl Trifluoromethyl Ketone","",5.1,6.36e-08
"N-tetradecanoyl-L-Homoserine lactone","",2.7,6.78e-08
"5-hydroxy-N-propyl-N-[2-(2,4,6-trichlorophenoxy)ethyl]imidazole-1-carboxamide","",2.21,8.17e-08
"Tumonoic Acid D","",2.07,1.13e-07
