"","Super class","Foldchange (young vs aged)","P value"
"2-Methyl-4,5-benzoxazole","Organoheterocyclic compounds",8.43,9.42e-18
"Leptomycin B","",100,8.03e-17
"N-Dealkylated tolterodine","Benzenoids",3.01,1.13e-14
"Santalyl phenylacetate","Lipids and lipid-like molecules",4.18,6.62e-14
"Valdiate","Lipids and lipid-like molecules",2.15,1.42e-13
"2-Hydroxy-6-pentadecylbenzoic acid","Benzenoids",2.53,1.43e-13
"N-3-oxo-tetradecanoyl-L-Homoserine lactone","",22.7,1.53e-13
"21-Hydroxy-5b-pregnane-3,11,20-trione","Lipids and lipid-like molecules",11.9,1.96e-13
"Val Lys Ser","Organic acids and derivatives",11.8,2.91e-13
"Arginyl-Asparagine","Organic acids and derivatives",2.55,3.15e-13
"Homoarecoline","Alkaloids and derivatives",2.37,4.81e-13
"Cer/AS(d14:1/13:1)","",9.23,6.26e-13
"Propoxur","",2.13,1.27e-12
"C75","",7.57,1.57e-12
"5-(1-Pyrrolidinylmethyl)-2-furanmethanol","Organonitrogen compounds",4.14,2.18e-12
"Linoleamide","Lipids and lipid-like molecules",4.07,4.35e-12
"cyclohexane-1,4-dicarboxylic acid","",2.34,4.69e-12
"6-Keto-prostaglandin F1a","Lipids and lipid-like molecules",2.23,1.7e-11
"12-Hydroxydodecanoic acid","Organic acids and derivatives",2.05,2.19e-11
"5,9-dimethyltetracyclo[11.2.1.01,10.04,9]hexadecane-5,14-dicarboxylic acid","",4.39,4.06e-11
"16,16-dimethyl-PGA1","",2.12,4.51e-11
"6,10,14-Trimethyl-5,9,13-pentadecatrien-2-one","Lipids and lipid-like molecules",4.7,6.13e-11
"5-[(4,5-dimethoxy-2-methylphenyl)methyl]pyrimidine-2,4-diamine","",3.3,7.72e-11
"1-hexadecyl-glycero-3-phosphate","Lipids and lipid-like molecules",2.03,9.54e-11
"(R)-3-Hydroxy-tetradecanoic acid","Lipids and lipid-like molecules",2.06,1.01e-10
"2,2,6,6-Tetramethyl-4-piperidinone","Organoheterocyclic compounds",5.53,1.02e-10
"xi-2,5-Dihydro-2,4-dimethylthiazole","Organoheterocyclic compounds",3.01,1.9e-10
"(Z)-2-(5-Tetradecenyl)cyclobutanone","",2.17,2.29e-10
"(3R,4R,5R)-3-[(11E)-hexadeca-11,15-dien-9-ynyl]-4-hydroxy-5-methyloxolan-2-one","",10.5,4.4e-10
"KAPA","",2.14,5.49e-10
"2-(5,8-Tetradecadienyl)cyclobutanone","Organooxygen compounds",4.87,9.01e-10
"Cer/AP(t14:2/15:1)","",7.33,1.43e-09
"Obscuraminol A","",4.32,1.62e-09
"Estrone","Lipids and lipid-like molecules",4.53,1.83e-09
"Resolvin D2","Lipids and lipid-like molecules",2.41,2.12e-09
"(4E,8E,10E-d18:3)sphingosine","",3.01,2.14e-09
"Val Val Val","Organic acids and derivatives",4.34,2.85e-09
"2-(14-methylpentadecanoylamino)-3-phenylpropanoic acid","",2.52,3.6e-09
"1-tetradecanoyl-sn-glycero-3-phosphate","Lipids and lipid-like molecules",2.51,4.25e-09
"Trihexyphenidyl N-oxide","",3.28,9.39e-09
"13-epi-12-oxo Phytodienoic Acid","",2.77,1.23e-08
"Sesartemin","Lignans, neolignans and related compounds",22.9,3.19e-08
"CAY10590","",3.18,4.62e-08
"9R,10S-Epoxy-3Z,6Z-eicosadiene","",2.53,1.15e-07
"3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid","Lipids and lipid-like molecules",2.57,1.24e-07
"Austroinulin","Lipids and lipid-like molecules",9.71,1.25e-07
"Bioresmethrin","",3.26,1.27e-07
"CPA(16:0/0:0)","Lipids and lipid-like molecules",9.08,1.33e-07
"21-hydroxy-heneicosanoic acid","",Inf,2.2e-07
"Rhein","Benzenoids",4.57,2.91e-07
"Ciprostene","",4.84,3.55e-07
"17-keto-4(Z),7(Z),10(Z),13(Z),15(E),19(Z)-Docosahexaenoic Acid","",4.52,7.38e-07
"5,7-Diethyl-9-methyl-3E,5E,7E,9E-tridecatetraene","",2.09,9.64e-07
"Grifolin","Lipids and lipid-like molecules",2.21,1.22e-06
"Robustocin","Lipids and lipid-like molecules",14.3,1.47e-06
"Spergualin","",2.07,1.72e-06
"FA(17:1)","Lipids and lipid-like molecules",4.92,2.14e-06
"5,8-Epoxy-5,8-dihydro-10'-apo-b,y-carotene-3,10'-diol","Lipids and lipid-like molecules",2.15,2.38e-06
"1alpha,25-dihydroxy-19-norvitamin D3 / 1alpha,25-dihydroxy-19-norcholecalciferol","",3.05,3.57e-06
"PC(2:0/20:5)","Lipids and lipid-like molecules",3.88,5.55e-06
"Sucrose","Organic oxygen compounds",3.73,5.69e-06
"Oxytetracycline","Phenylpropanoids and polyketides",2.09,6.76e-06
"DROFENINE","",2.07,1.97e-05
"Heptadecanoyl carnitine","Lipids and lipid-like molecules",Inf,2.49e-05
"FA(20:5)","Lipids and lipid-like molecules",2.95,3e-05
"(1R,2S,5R,8R,9R,10R,13R,17S)-9-hydroxy-1,13-dimethyl-6-methylidene-11-oxapentacyclo[8.6.1.15,8.02,8.013,17]octadecan-12-one","",9.04,4.73e-05
"7,17-dihydroxy-8(E),10(Z),13(Z),15(E),19(Z)-Docosapentaenoic Acid","",2.04,6.05e-05
"beta-Doradecin","Lipids and lipid-like molecules",2.13,7.89e-05
"Galactosylsphingosine","",3.13,9.2e-05
"DGTS(3:0/18:3)","",63,0.000103
"PC(2:0/16:1)","Lipids and lipid-like molecules",4.75,0.000109
"FAHFA(15:0/22:3)","Lipids and lipid-like molecules",8.5,0.000154
"O-Arachidonoyl Ethanolamine","Lipids and lipid-like molecules",2.51,0.000165
"Cucurbitacin B","Lipids and lipid-like molecules",3.77,0.000248
"PMeOH(24:1/22:6)","",4.33,0.000376
"PS(22:1(11Z)/0:0)","Lipids and lipid-like molecules",2.24,0.000418
"Umbelliprenin","Lipids and lipid-like molecules",2.36,0.000568
"U-46619 Glycine methyl ester","",15.7,0.00104
"Met Pro Gly Gln","Organic acids and derivatives",Inf,0.00104
"2-[7-hydroxy-5-methoxy-3-oxo-6-[(2E,6Z)-3,7,11-trimethyldodeca-2,6,10-trienoxy]-1H-isoindol-2-yl]pentanedioic acid","",2.46,0.00184
"PE(5:0/16:4)","Lipids and lipid-like molecules",2.52,0.00185
"Ala Tyr Trp Ile","Organic acids and derivatives",2.6,0.00205
"Met Arg Tyr Ile","Organic acids and derivatives",2.16,0.00212
"PE(3:0/20:5)","Lipids and lipid-like molecules",3.18,0.00228
"Hydroxytyrosol","Benzenoids",Inf,0.00247
"PE(3:0/20:4)","Lipids and lipid-like molecules",2.75,0.00323
"PI(17:0/18:1)","Lipids and lipid-like molecules",2.2,0.00393
"DG(13:0/13:0/0:0)","Lipids and lipid-like molecules",3.2,0.00407
"5,6-DHET","Lipids and lipid-like molecules",2.08,0.00453
"Falcarinone","Organic oxygen compounds",Inf,0.00467
"4-[12,18-dihydroxy-8,21,21-trimethyl-5-(3-methylbutyl)-8-(4-methylpentyl)-14-oxo-3,7,20-trioxahexacyclo[15.4.1.02,15.02,19.04,13.06,11]docosa-4(13),5,9,11-tetraen-19-yl]-2-methylbutanoic acid","",Inf,0.00538
