,Enrichment Ratio
Ascorbate and aldarate metabolism,1.572327044
Lipoic acid metabolism,1.572327044
Vitamin B6 metabolism,1.396648045
Purine metabolism,1.160541586
Histidine metabolism,0.787401575
Glycerolipid metabolism,0.787401575
Pantothenate and CoA biosynthesis,0.662251656
Pyrimidine metabolism,0.64516129
Fructose and mannose metabolism,0.628930818
Tryptophan metabolism,0.613496933
beta-Alanine metabolism,0.598802395
Galactose metabolism,0.465116279
Phosphatidylinositol signaling system,0.448430493
Inositol phosphate metabolism,0.418410042
Arachidonic acid metabolism,0.34965035
Metabolism of xenobiotics by cytochrome P450,0.184842884
