,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.460207612
"Neomycin, kanamycin and gentamicin biosynthesis",3.460207612
Phenylalanine metabolism,2.068965517
Vitamin B6 metabolism,1.538461538
Aminoacyl-tRNA biosynthesis,1.44092219
Linoleic acid metabolism,1.383125864
D-Glutamine and D-glutamate metabolism,1.153402537
Pyrimidine metabolism,0.886524823
Histidine metabolism,0.865800866
Ascorbate and aldarate metabolism,0.862068966
"Valine, leucine and isoleucine biosynthesis",0.862068966
Lipoic acid metabolism,0.862068966
Purine metabolism,0.85106383
Ubiquinone and other terpenoid-quinone biosynthesis,0.769230769
Caffeine metabolism,0.689655172
beta-Alanine metabolism,0.657894737
"Glycine, serine and threonine metabolism",0.628930818
Cysteine and methionine metabolism,0.628930818
Pentose phosphate pathway,0.628930818
Arginine and proline metabolism,0.546448087
Galactose metabolism,0.512820513
Tryptophan metabolism,0.505902192
Arginine biosynthesis,0.495049505
Inositol phosphate metabolism,0.460829493
Glycerolipid metabolism,0.432900433
Pentose and glucuronate interconversions,0.384615385
Starch and sucrose metabolism,0.384615385
Pantothenate and CoA biosynthesis,0.363636364
Fructose and mannose metabolism,0.346020761
Sphingolipid metabolism,0.328947368
Glycolysis / Gluconeogenesis,0.265957447
"Alanine, aspartate and glutamate metabolism",0.24691358
Phosphatidylinositol signaling system,0.24691358
Glyoxylate and dicarboxylate metabolism,0.215982721
Arachidonic acid metabolism,0.192307692
Biosynthesis of unsaturated fatty acids,0.192307692
Amino sugar and nucleotide sugar metabolism,0.186915888
Tyrosine metabolism,0.164744646
Drug metabolism - cytochrome P450,0.125786164
Metabolism of xenobiotics by cytochrome P450,0.1017294
Steroid hormone biosynthesis,0.081300813
