,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,9.216589862
Phosphonate and phosphinate metabolism,4.608294931
Nitrogen metabolism,4.608294931
Taurine and hypotaurine metabolism,3.460207612
Purine metabolism,2.978723404
Glutathione metabolism,2.97029703
Arginine biosynthesis,1.976284585
Butanoate metabolism,1.84501845
Histidine metabolism,1.730103806
Glycerophospholipid metabolism,1.538461538
Pantothenate and CoA biosynthesis,1.455604076
Ether lipid metabolism,1.383125864
Lysine degradation,1.107419712
"Alanine, aspartate and glutamate metabolism",0.99009901
Porphyrin and chlorophyll metabolism,0.925925926
Glyoxylate and dicarboxylate metabolism,0.862068966
Cysteine and methionine metabolism,0.840336134
Arachidonic acid metabolism,0.769230769
Arginine and proline metabolism,0.729927007
Primary bile acid biosynthesis,0.602409639
Aminoacyl-tRNA biosynthesis,0.578034682
Steroid hormone biosynthesis,0.325732899
