,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,24.15458937
Nitrogen metabolism,12.07729469
Glutathione metabolism,7.772020725
Purine metabolism,5.574136009
Arginine biosynthesis,5.18134715
Butanoate metabolism,4.830917874
Histidine metabolism,4.524886878
"Alanine, aspartate and glutamate metabolism",2.590673575
Porphyrin and chlorophyll metabolism,2.415458937
Glyoxylate and dicarboxylate metabolism,2.262443439
Cysteine and methionine metabolism,2.197802198
Arachidonic acid metabolism,2.012072435
Arginine and proline metabolism,1.908396947
Aminoacyl-tRNA biosynthesis,1.510574018
Steroid hormone biosynthesis,0.854700855
