,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.846153846
Riboflavin metabolism,2.88184438
Phosphonate and phosphinate metabolism,1.923076923
Nitrogen metabolism,1.923076923
Ascorbate and aldarate metabolism,1.44092219
Taurine and hypotaurine metabolism,1.44092219
Purine metabolism,1.418439716
Glutathione metabolism,1.234567901
Pyrimidine metabolism,1.183431953
Glycerophospholipid metabolism,0.961538462
alpha-Linolenic acid metabolism,0.884955752
Arginine biosynthesis,0.826446281
"Alanine, aspartate and glutamate metabolism",0.823045267
Butanoate metabolism,0.769230769
Nicotinate and nicotinamide metabolism,0.769230769
Histidine metabolism,0.71942446
Pentose and glucuronate interconversions,0.641025641
Pantothenate and CoA biosynthesis,0.606060606
Selenocompound metabolism,0.578034682
Ether lipid metabolism,0.578034682
Sphingolipid metabolism,0.549450549
Primary bile acid biosynthesis,0.501253133
Fatty acid biosynthesis,0.490196078
Aminoacyl-tRNA biosynthesis,0.480769231
Lysine degradation,0.460829493
Steroid hormone biosynthesis,0.407055631
Porphyrin and chlorophyll metabolism,0.384615385
Glyoxylate and dicarboxylate metabolism,0.35971223
Cysteine and methionine metabolism,0.34965035
Arachidonic acid metabolism,0.320512821
Biosynthesis of unsaturated fatty acids,0.320512821
Amino sugar and nucleotide sugar metabolism,0.31152648
Arginine and proline metabolism,0.303030303
Fatty acid elongation,0.295857988
Fatty acid degradation,0.295857988
