,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.787878788
Phenylalanine metabolism,2.272727273
Riboflavin metabolism,1.893939394
Linoleic acid metabolism,1.515151515
Arachidonic acid metabolism,1.263157895
Ascorbate and aldarate metabolism,0.943396226
Taurine and hypotaurine metabolism,0.943396226
Pentose and glucuronate interconversions,0.840336134
Ubiquinone and other terpenoid-quinone biosynthesis,0.840336134
Purine metabolism,0.815850816
Pantothenate and CoA biosynthesis,0.796812749
Sphingolipid metabolism,0.722021661
Cysteine and methionine metabolism,0.688073394
Nicotinate and nicotinamide metabolism,0.505050505
Histidine metabolism,0.473933649
Aminoacyl-tRNA biosynthesis,0.47318612
Retinol metabolism,0.444444444
Biosynthesis of unsaturated fatty acids,0.421052632
Pyrimidine metabolism,0.388349515
Tryptophan metabolism,0.369685767
beta-Alanine metabolism,0.36101083
Pentose phosphate pathway,0.343642612
Glutathione metabolism,0.27027027
Porphyrin and chlorophyll metabolism,0.252525253
Amino sugar and nucleotide sugar metabolism,0.204498978
Arginine and proline metabolism,0.199203187
Fatty acid elongation,0.194174757
Fatty acid degradation,0.194174757
Steroid biosynthesis,0.18018018
Tyrosine metabolism,0.18018018
Steroid hormone biosynthesis,0.178571429
Primary bile acid biosynthesis,0.164744646
Fatty acid biosynthesis,0.161030596
