,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.378378378
Ascorbate and aldarate metabolism,2.538071066
"Valine, leucine and isoleucine biosynthesis",2.538071066
Taurine and hypotaurine metabolism,2.538071066
Vitamin B6 metabolism,2.257336343
Phenylalanine metabolism,2.028397566
Biotin metabolism,2.028397566
alpha-Linolenic acid metabolism,1.560062402
Glycerolipid metabolism,1.269035533
Aminoacyl-tRNA biosynthesis,1.265822785
Pantothenate and CoA biosynthesis,1.068376068
Fructose and mannose metabolism,1.014198783
Pentose phosphate pathway,0.925925926
Lysine degradation,0.81300813
Galactose metabolism,0.751879699
"Alanine, aspartate and glutamate metabolism",0.724637681
Phosphatidylinositol signaling system,0.724637681
Inositol phosphate metabolism,0.675675676
"Glycine, serine and threonine metabolism",0.613496933
Arginine and proline metabolism,0.534759358
Pyrimidine metabolism,0.520833333
"Valine, leucine and isoleucine degradation",0.507614213
Primary bile acid biosynthesis,0.440528634
Purine metabolism,0.3125
