,Enrichment Ratio
Ascorbate and aldarate metabolism,3.731343284
"Valine, leucine and isoleucine biosynthesis",3.731343284
Taurine and hypotaurine metabolism,3.731343284
Phenylalanine metabolism,2.985074627
Biotin metabolism,2.985074627
alpha-Linolenic acid metabolism,2.293577982
Glycerolipid metabolism,1.865671642
Aminoacyl-tRNA biosynthesis,1.863354037
Fructose and mannose metabolism,1.492537313
Pentose phosphate pathway,1.356852103
Lysine degradation,1.193317422
Galactose metabolism,1.104972376
"Alanine, aspartate and glutamate metabolism",1.066098081
Phosphatidylinositol signaling system,1.066098081
Inositol phosphate metabolism,0.99009901
"Glycine, serine and threonine metabolism",0.900900901
Arginine and proline metabolism,0.787401575
Primary bile acid biosynthesis,0.649350649
Purine metabolism,0.458715596
