,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,6.237006237
"Valine, leucine and isoleucine biosynthesis",3.120124805
Nitrogen metabolism,2.079002079
Ascorbate and aldarate metabolism,1.560062402
Taurine and hypotaurine metabolism,1.560062402
Vitamin B6 metabolism,1.386962552
Phenylalanine metabolism,1.246882793
Biotin metabolism,1.246882793
Aminoacyl-tRNA biosynthesis,1.038961039
alpha-Linolenic acid metabolism,0.961538462
"Alanine, aspartate and glutamate metabolism",0.892857143
Arginine biosynthesis,0.892857143
Butanoate metabolism,0.833333333
Nicotinate and nicotinamide metabolism,0.833333333
Histidine metabolism,0.78125
Glycerolipid metabolism,0.78125
"Glycine, serine and threonine metabolism",0.754716981
Cysteine and methionine metabolism,0.754716981
Pantothenate and CoA biosynthesis,0.657894737
Arginine and proline metabolism,0.655737705
Fructose and mannose metabolism,0.625
"Valine, leucine and isoleucine degradation",0.62305296
Sphingolipid metabolism,0.595238095
Pentose phosphate pathway,0.568181818
Lysine degradation,0.5
Glycolysis / Gluconeogenesis,0.480769231
Galactose metabolism,0.462962963
Glutathione metabolism,0.446428571
Phosphatidylinositol signaling system,0.446428571
Inositol phosphate metabolism,0.416666667
Porphyrin and chlorophyll metabolism,0.416666667
Glyoxylate and dicarboxylate metabolism,0.389105058
Purine metabolism,0.383877159
Glycerophospholipid metabolism,0.346020761
Pyrimidine metabolism,0.319488818
Primary bile acid biosynthesis,0.27100271
