,Enrichment Ratio
Arachidonic acid metabolism,1.673640167
Phenylalanine metabolism,1.506024096
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1.076426265
Glutathione metabolism,1.075268817
Histidine metabolism,0.943396226
Purine metabolism,0.928074246
Retinol metabolism,0.884955752
Pentose and glucuronate interconversions,0.840336134
Pantothenate and CoA biosynthesis,0.793650794
Ether lipid metabolism,0.751879699
Pentose phosphate pathway,0.684931507
Cysteine and methionine metabolism,0.456621005
Glycerophospholipid metabolism,0.418410042
Biosynthesis of unsaturated fatty acids,0.418410042
Arginine and proline metabolism,0.396825397
Pyrimidine metabolism,0.386100386
Steroid hormone biosynthesis,0.177304965
