,Enrichment Ratio
Ascorbate and aldarate metabolism,1.45137881
Taurine and hypotaurine metabolism,1.45137881
Arachidonic acid metabolism,1.290322581
Pentose and glucuronate interconversions,1.290322581
Purine metabolism,1.252236136
Phenylalanine metabolism,1.161440186
Sphingolipid metabolism,1.104972376
Pyrimidine metabolism,0.892857143
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.833333333
Glutathione metabolism,0.829875519
Histidine metabolism,0.724637681
Retinol metabolism,0.684931507
Pantothenate and CoA biosynthesis,0.609756098
Ether lipid metabolism,0.581395349
Pentose phosphate pathway,0.529100529
Cysteine and methionine metabolism,0.352112676
Glycerophospholipid metabolism,0.322580645
Biosynthesis of unsaturated fatty acids,0.322580645
Amino sugar and nucleotide sugar metabolism,0.314465409
Arginine and proline metabolism,0.305810398
Primary bile acid biosynthesis,0.252525253
Fatty acid biosynthesis,0.24691358
Steroid hormone biosynthesis,0.136612022
