,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.428571429
"Phenylalanine, tyrosine and tryptophan biosynthesis",1.715265866
Riboflavin metabolism,1.715265866
Vitamin B6 metabolism,1.526717557
Phenylalanine metabolism,1.369863014
Aminoacyl-tRNA biosynthesis,1.285714286
Nitrogen metabolism,1.142857143
Sphingolipid metabolism,0.980392157
Arginine biosynthesis,0.980392157
Histidine metabolism,0.858369099
Ascorbate and aldarate metabolism,0.854700855
"Valine, leucine and isoleucine biosynthesis",0.854700855
Taurine and hypotaurine metabolism,0.854700855
"Alanine, aspartate and glutamate metabolism",0.735294118
Arginine and proline metabolism,0.722021661
Caffeine metabolism,0.684931507
Biotin metabolism,0.684931507
"Glycine, serine and threonine metabolism",0.623700624
Glycolysis / Gluconeogenesis,0.527704485
Purine metabolism,0.52742616
Pyrimidine metabolism,0.527240773
alpha-Linolenic acid metabolism,0.526315789
Galactose metabolism,0.507614213
Butanoate metabolism,0.456621005
Glycerolipid metabolism,0.429184549
Glyoxylate and dicarboxylate metabolism,0.428265525
Cysteine and methionine metabolism,0.415800416
Starch and sucrose metabolism,0.380228137
Pantothenate and CoA biosynthesis,0.36101083
Fructose and mannose metabolism,0.342465753
Selenocompound metabolism,0.342465753
beta-Alanine metabolism,0.326797386
Pentose phosphate pathway,0.31152648
Lysine degradation,0.273972603
Glutathione metabolism,0.245098039
Phosphatidylinositol signaling system,0.245098039
Steroid hormone biosynthesis,0.241935484
Inositol phosphate metabolism,0.228310502
Porphyrin and chlorophyll metabolism,0.228310502
Glycerophospholipid metabolism,0.19047619
Arachidonic acid metabolism,0.19047619
Biosynthesis of unsaturated fatty acids,0.19047619
Drug metabolism - other enzymes,0.175746924
"Valine, leucine and isoleucine degradation",0.171526587
Tryptophan metabolism,0.16722408
Primary bile acid biosynthesis,0.149031297
Fatty acid biosynthesis,0.145772595
