,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.975124378
"Neomycin, kanamycin and gentamicin biosynthesis",4.975124378
D-Glutamine and D-glutamate metabolism,3.316749585
Aminoacyl-tRNA biosynthesis,2.691511387
Phenylalanine metabolism,1.98019802
Phosphonate and phosphinate metabolism,1.658374793
Nitrogen metabolism,1.658374793
Arginine biosynthesis,1.418439716
Arginine and proline metabolism,1.308900524
"Valine, leucine and isoleucine biosynthesis",1.243781095
Histidine metabolism,1.242236025
Purine metabolism,1.225114855
"Glycine, serine and threonine metabolism",1.204819277
Ubiquinone and other terpenoid-quinone biosynthesis,1.104972376
Vitamin B6 metabolism,1.104972376
"Alanine, aspartate and glutamate metabolism",1.067615658
Porphyrin and chlorophyll metabolism,0.993377483
Caffeine metabolism,0.99009901
beta-Alanine metabolism,0.947867299
Sphingolipid metabolism,0.947867299
Glyoxylate and dicarboxylate metabolism,0.931677019
Pentose phosphate pathway,0.904977376
Cysteine and methionine metabolism,0.903614458
Glycolysis / Gluconeogenesis,0.766283525
Pyrimidine metabolism,0.765306122
Tryptophan metabolism,0.72815534
Glutathione metabolism,0.711743772
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.709219858
Butanoate metabolism,0.662251656
Nicotinate and nicotinamide metabolism,0.662251656
Starch and sucrose metabolism,0.552486188
Pantothenate and CoA biosynthesis,0.523560209
Selenocompound metabolism,0.497512438
Galactose metabolism,0.36900369
Inositol phosphate metabolism,0.331125828
Glycerophospholipid metabolism,0.276243094
Biosynthesis of unsaturated fatty acids,0.276243094
Amino sugar and nucleotide sugar metabolism,0.268817204
Fatty acid elongation,0.255102041
Fatty acid degradation,0.255102041
Tyrosine metabolism,0.236966825
Primary bile acid biosynthesis,0.216450216
Fatty acid biosynthesis,0.211864407
Steroid hormone biosynthesis,0.117096019
