,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",8.196721311
D-Glutamine and D-glutamate metabolism,5.449591281
Aminoacyl-tRNA biosynthesis,4.09556314
Phenylalanine metabolism,3.273322422
Phosphonate and phosphinate metabolism,2.72479564
Nitrogen metabolism,2.72479564
Arginine biosynthesis,2.339181287
Histidine metabolism,2.044989775
"Valine, leucine and isoleucine biosynthesis",2.044989775
Ubiquinone and other terpenoid-quinone biosynthesis,1.818181818
"Alanine, aspartate and glutamate metabolism",1.754385965
Arginine and proline metabolism,1.724137931
Porphyrin and chlorophyll metabolism,1.639344262
Caffeine metabolism,1.636661211
beta-Alanine metabolism,1.5625
Sphingolipid metabolism,1.5625
Glyoxylate and dicarboxylate metabolism,1.530612245
"Glycine, serine and threonine metabolism",1.485148515
Tryptophan metabolism,1.195219124
Glutathione metabolism,1.169590643
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1.169590643
Butanoate metabolism,1.090512541
Cysteine and methionine metabolism,0.99009901
Pantothenate and CoA biosynthesis,0.862068966
Selenocompound metabolism,0.819672131
Pentose phosphate pathway,0.746268657
Purine metabolism,0.503778338
Glycerophospholipid metabolism,0.454545455
Biosynthesis of unsaturated fatty acids,0.454545455
Fatty acid elongation,0.420168067
Fatty acid degradation,0.420168067
Pyrimidine metabolism,0.420168067
Tyrosine metabolism,0.389105058
Primary bile acid biosynthesis,0.355871886
Fatty acid biosynthesis,0.348432056
Steroid hormone biosynthesis,0.192678227
