,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.75
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.745318352
"Neomycin, kanamycin and gentamicin biosynthesis",3.745318352
Phenylalanine metabolism,2.255639098
Aminoacyl-tRNA biosynthesis,2.03125
Phosphonate and phosphinate metabolism,1.25
Nitrogen metabolism,1.25
Arginine biosynthesis,1.069518717
Nicotinate and nicotinamide metabolism,1
Arginine and proline metabolism,0.986193294
Pyrimidine metabolism,0.961538462
Histidine metabolism,0.938967136
Ascorbate and aldarate metabolism,0.934579439
"Valine, leucine and isoleucine biosynthesis",0.934579439
Taurine and hypotaurine metabolism,0.934579439
Purine metabolism,0.92272203
"Glycine, serine and threonine metabolism",0.909090909
Ubiquinone and other terpenoid-quinone biosynthesis,0.833333333
Vitamin B6 metabolism,0.833333333
"Alanine, aspartate and glutamate metabolism",0.804289544
Pantothenate and CoA biosynthesis,0.790513834
Caffeine metabolism,0.751879699
Porphyrin and chlorophyll metabolism,0.75
beta-Alanine metabolism,0.714285714
Sphingolipid metabolism,0.714285714
Glyoxylate and dicarboxylate metabolism,0.702576112
Pentose phosphate pathway,0.682593857
Cysteine and methionine metabolism,0.681818182
Glycolysis / Gluconeogenesis,0.576368876
Tryptophan metabolism,0.548446069
Glutathione metabolism,0.536193029
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.534759358
Butanoate metabolism,0.5
Glycerolipid metabolism,0.469483568
Pentose and glucuronate interconversions,0.416666667
Starch and sucrose metabolism,0.416666667
Amino sugar and nucleotide sugar metabolism,0.405679513
Fructose and mannose metabolism,0.374531835
Selenocompound metabolism,0.374531835
Primary bile acid biosynthesis,0.325732899
Galactose metabolism,0.277777778
Inositol phosphate metabolism,0.25
Glycerophospholipid metabolism,0.208333333
Biosynthesis of unsaturated fatty acids,0.208333333
Fatty acid elongation,0.192307692
Fatty acid degradation,0.192307692
Tyrosine metabolism,0.178571429
Fatty acid biosynthesis,0.159489633
Steroid hormone biosynthesis,0.088495575
