,Enrichment Ratio
Linoleic acid metabolism,2.257336343
Arachidonic acid metabolism,1.880877743
Phenylalanine metabolism,1.127395716
Purine metabolism,0.693240901
Retinol metabolism,0.662251656
Starch and sucrose metabolism,0.625
Galactose metabolism,0.418410042
"Glycine, serine and threonine metabolism",0.341296928
Cysteine and methionine metabolism,0.341296928
Biosynthesis of unsaturated fatty acids,0.313479624
Tryptophan metabolism,0.274725275
Primary bile acid biosynthesis,0.245098039
Metabolism of xenobiotics by cytochrome P450,0.165837479
Steroid hormone biosynthesis,0.132625995
