,Enrichment Ratio
Linoleic acid metabolism,1.278772379
Arachidonic acid metabolism,1.243339254
Lipoic acid metabolism,0.8
Purine metabolism,0.68627451
Phenylalanine metabolism,0.641025641
Pyrimidine metabolism,0.491803279
Cysteine and methionine metabolism,0.387596899
Retinol metabolism,0.37593985
Starch and sucrose metabolism,0.355871886
Sphingolipid metabolism,0.304878049
Galactose metabolism,0.236966825
Steroid hormone biosynthesis,0.22556391
"Glycine, serine and threonine metabolism",0.19379845
Biosynthesis of unsaturated fatty acids,0.177619893
Arginine and proline metabolism,0.168350168
Tryptophan metabolism,0.15600624
Primary bile acid biosynthesis,0.139082058
Fatty acid biosynthesis,0.136054422
Metabolism of xenobiotics by cytochrome P450,0.094339623
