,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.944773176
Phenylalanine metabolism,3.149606299
D-Glutamine and D-glutamate metabolism,2.628120894
Aminoacyl-tRNA biosynthesis,2.298850575
Vitamin B6 metabolism,1.754385965
Nitrogen metabolism,1.314060447
"Glycine, serine and threonine metabolism",1.196172249
Arginine biosynthesis,1.123595506
Arginine and proline metabolism,1.037344398
Ascorbate and aldarate metabolism,0.99009901
"Valine, leucine and isoleucine biosynthesis",0.99009901
Taurine and hypotaurine metabolism,0.99009901
Histidine metabolism,0.985221675
Ubiquinone and other terpenoid-quinone biosynthesis,0.877192982
"Alanine, aspartate and glutamate metabolism",0.845070423
Pantothenate and CoA biosynthesis,0.829875519
Caffeine metabolism,0.787401575
Biotin metabolism,0.787401575
beta-Alanine metabolism,0.751879699
Sphingolipid metabolism,0.751879699
Glyoxylate and dicarboxylate metabolism,0.738916256
alpha-Linolenic acid metabolism,0.606060606
Tryptophan metabolism,0.576923077
Glutathione metabolism,0.563380282
Butanoate metabolism,0.526315789
Porphyrin and chlorophyll metabolism,0.526315789
Primary bile acid biosynthesis,0.51457976
Glycerolipid metabolism,0.492610837
Cysteine and methionine metabolism,0.4784689
Glycerophospholipid metabolism,0.437636761
Fructose and mannose metabolism,0.393700787
Selenocompound metabolism,0.393700787
Ether lipid metabolism,0.393700787
Purine metabolism,0.36407767
Pentose phosphate pathway,0.358422939
Lysine degradation,0.315457413
Galactose metabolism,0.292397661
Phosphatidylinositol signaling system,0.281690141
Inositol phosphate metabolism,0.263157895
Biosynthesis of unsaturated fatty acids,0.218818381
Pyrimidine metabolism,0.202020202
N-Glycan biosynthesis,0.192307692
Tyrosine metabolism,0.187617261
Steroid hormone biosynthesis,0.092592593
