,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,4.264392324
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.194888179
Aminoacyl-tRNA biosynthesis,2.133333333
Nitrogen metabolism,2.132196162
Histidine metabolism,1.6
Ascorbate and aldarate metabolism,1.6
"Valine, leucine and isoleucine biosynthesis",1.6
Ubiquinone and other terpenoid-quinone biosynthesis,1.420454545
Vitamin B6 metabolism,1.420454545
Caffeine metabolism,1.278772379
Phenylalanine metabolism,1.278772379
Biotin metabolism,1.278772379
beta-Alanine metabolism,1.219512195
"Glycine, serine and threonine metabolism",1.162790698
alpha-Linolenic acid metabolism,0.980392157
Arginine biosynthesis,0.917431193
"Alanine, aspartate and glutamate metabolism",0.913242009
Butanoate metabolism,0.854700855
Glyoxylate and dicarboxylate metabolism,0.8
Glycerophospholipid metabolism,0.711743772
Pantothenate and CoA biosynthesis,0.67114094
Ether lipid metabolism,0.641025641
Tryptophan metabolism,0.62305296
Sphingolipid metabolism,0.609756098
Pentose phosphate pathway,0.581395349
Lysine degradation,0.512820513
Galactose metabolism,0.473933649
Glutathione metabolism,0.456621005
Phosphatidylinositol signaling system,0.456621005
Inositol phosphate metabolism,0.425531915
Porphyrin and chlorophyll metabolism,0.425531915
Cysteine and methionine metabolism,0.387596899
Biosynthesis of unsaturated fatty acids,0.355871886
Arginine and proline metabolism,0.336700337
Pyrimidine metabolism,0.327868852
N-Glycan biosynthesis,0.31152648
Tyrosine metabolism,0.304878049
Primary bile acid biosynthesis,0.277777778
Purine metabolism,0.196850394
Steroid hormone biosynthesis,0.15037594
