,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.131524008
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.129890454
Phenylalanine metabolism,1.875
Aminoacyl-tRNA biosynthesis,1.82767624
Ascorbate and aldarate metabolism,1.5625
Vitamin B6 metabolism,1.388888889
Nitrogen metabolism,1.043841336
"Glycine, serine and threonine metabolism",0.948766603
Sphingolipid metabolism,0.895522388
Arginine biosynthesis,0.892857143
Arginine and proline metabolism,0.823723229
Histidine metabolism,0.784313725
"Valine, leucine and isoleucine biosynthesis",0.78125
Ubiquinone and other terpenoid-quinone biosynthesis,0.694444444
"Alanine, aspartate and glutamate metabolism",0.67114094
Glutathione metabolism,0.67114094
Pantothenate and CoA biosynthesis,0.660066007
Caffeine metabolism,0.625
Biotin metabolism,0.625
beta-Alanine metabolism,0.597014925
Glyoxylate and dicarboxylate metabolism,0.587084149
alpha-Linolenic acid metabolism,0.480769231
Tryptophan metabolism,0.458015267
Butanoate metabolism,0.418410042
Nicotinate and nicotinamide metabolism,0.418410042
Porphyrin and chlorophyll metabolism,0.417536534
Glycerolipid metabolism,0.392156863
Purine metabolism,0.384615385
Cysteine and methionine metabolism,0.379506641
Pentose and glucuronate interconversions,0.348432056
Glycerophospholipid metabolism,0.347826087
Pyrimidine metabolism,0.321027287
Fructose and mannose metabolism,0.313479624
Selenocompound metabolism,0.313479624
Ether lipid metabolism,0.313479624
Pentose phosphate pathway,0.284900285
Primary bile acid biosynthesis,0.272479564
Lysine degradation,0.250626566
Galactose metabolism,0.232018561
Phosphatidylinositol signaling system,0.223713647
Inositol phosphate metabolism,0.208768267
Biosynthesis of unsaturated fatty acids,0.173913043
Amino sugar and nucleotide sugar metabolism,0.169204738
N-Glycan biosynthesis,0.152671756
Tyrosine metabolism,0.149031297
Steroid hormone biosynthesis,0.147058824
Fatty acid biosynthesis,0.133333333
