,Enrichment Ratio
Linoleic acid metabolism,2.577319588
Arachidonic acid metabolism,2.150537634
Pyrimidine metabolism,1.324503311
Sphingolipid metabolism,1.226993865
Purine metabolism,0.992063492
Retinol metabolism,0.757575758
Porphyrin and chlorophyll metabolism,0.429184549
Glyoxylate and dicarboxylate metabolism,0.403225806
"Glycine, serine and threonine metabolism",0.390625
Cysteine and methionine metabolism,0.390625
Glycerophospholipid metabolism,0.358422939
Biosynthesis of unsaturated fatty acids,0.358422939
Arginine and proline metabolism,0.338983051
Primary bile acid biosynthesis,0.280112045
