,Enrichment Ratio
Riboflavin metabolism,2.624671916
Linoleic acid metabolism,2.100840336
Purine metabolism,1.777059774
Arachidonic acid metabolism,1.749271137
Pyrimidine metabolism,1.612903226
Sphingolipid metabolism,1
Cysteine and methionine metabolism,0.636942675
Retinol metabolism,0.617283951
Biosynthesis of unsaturated fatty acids,0.583090379
Glutathione metabolism,0.374531835
Porphyrin and chlorophyll metabolism,0.34965035
Glycerophospholipid metabolism,0.29154519
Arginine and proline metabolism,0.276243094
Fatty acid elongation,0.268817204
Fatty acid degradation,0.268817204
Primary bile acid biosynthesis,0.228310502
Fatty acid biosynthesis,0.223214286
Steroid hormone biosynthesis,0.12345679
