,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",5.249343832
D-Glutamine and D-glutamate metabolism,5.244755245
Phenylalanine metabolism,3.14795383
Aminoacyl-tRNA biosynthesis,2.625820569
Linoleic acid metabolism,2.100840336
"Glycine, serine and threonine metabolism",1.910828025
Nitrogen metabolism,1.748251748
Arginine biosynthesis,1.503759398
"Alanine, aspartate and glutamate metabolism",1.498127341
Histidine metabolism,1.315789474
Ascorbate and aldarate metabolism,1.312335958
"Valine, leucine and isoleucine biosynthesis",1.312335958
Glyoxylate and dicarboxylate metabolism,1.31147541
Ubiquinone and other terpenoid-quinone biosynthesis,1.166861144
Arginine and proline metabolism,1.104972376
Pantothenate and CoA biosynthesis,1.104972376
Caffeine metabolism,1.049317943
Porphyrin and chlorophyll metabolism,1.048951049
beta-Alanine metabolism,1
Tryptophan metabolism,0.767263427
Glutathione metabolism,0.74906367
Butanoate metabolism,0.699300699
Nicotinate and nicotinamide metabolism,0.699300699
Citrate cycle (TCA cycle),0.523560209
Selenocompound metabolism,0.523560209
Sphingolipid metabolism,0.5
Tyrosine metabolism,0.5
Galactose metabolism,0.389105058
Phosphatidylinositol signaling system,0.374531835
Steroid hormone biosynthesis,0.37037037
Inositol phosphate metabolism,0.34965035
Purine metabolism,0.323101777
Cysteine and methionine metabolism,0.318471338
Arachidonic acid metabolism,0.29154519
Pyrimidine metabolism,0.268817204
Primary bile acid biosynthesis,0.228310502
