,Enrichment Ratio
Ascorbate and aldarate metabolism,3.521126761
"Valine, leucine and isoleucine biosynthesis",3.521126761
Nicotinate and nicotinamide metabolism,1.879699248
"Glycine, serine and threonine metabolism",1.709401709
Galactose metabolism,1.043841336
Phosphatidylinositol signaling system,1.007049345
Steroid hormone biosynthesis,0.993377483
Inositol phosphate metabolism,0.943396226
Porphyrin and chlorophyll metabolism,0.943396226
Tryptophan metabolism,0.689655172
Tyrosine metabolism,0.67114094
Aminoacyl-tRNA biosynthesis,0.588235294
Purine metabolism,0.432900433
