,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.081664099
D-Glutamine and D-glutamate metabolism,3.080082136
Phenylalanine metabolism,1.851851852
"Glycine, serine and threonine metabolism",1.679104478
Aminoacyl-tRNA biosynthesis,1.668806162
Ascorbate and aldarate metabolism,1.538461538
"Valine, leucine and isoleucine biosynthesis",1.538461538
Linoleic acid metabolism,1.233045623
Phosphonate and phosphinate metabolism,1.026694045
Nitrogen metabolism,1.026694045
Arginine biosynthesis,0.881057269
"Alanine, aspartate and glutamate metabolism",0.881057269
Arginine and proline metabolism,0.810372771
Glyoxylate and dicarboxylate metabolism,0.770712909
Taurine and hypotaurine metabolism,0.769230769
Histidine metabolism,0.769230769
Cysteine and methionine metabolism,0.746268657
Ubiquinone and other terpenoid-quinone biosynthesis,0.684931507
Vitamin B6 metabolism,0.684931507
Pantothenate and CoA biosynthesis,0.649350649
Caffeine metabolism,0.617283951
Porphyrin and chlorophyll metabolism,0.616016427
beta-Alanine metabolism,0.586510264
Tryptophan metabolism,0.45112782
Glutathione metabolism,0.440528634
Butanoate metabolism,0.411522634
Nicotinate and nicotinamide metabolism,0.411522634
Fatty acid biosynthesis,0.393184797
Retinol metabolism,0.362318841
Pentose and glucuronate interconversions,0.342465753
Arachidonic acid metabolism,0.342465753
Pyrimidine metabolism,0.315955766
Citrate cycle (TCA cycle),0.307692308
Selenocompound metabolism,0.307692308
Sphingolipid metabolism,0.293255132
Tyrosine metabolism,0.293255132
Steroid hormone biosynthesis,0.289855072
Propanoate metabolism,0.268096515
Primary bile acid biosynthesis,0.267737617
Glycolysis / Gluconeogenesis,0.236966825
Galactose metabolism,0.228310502
Phosphatidylinositol signaling system,0.220264317
Inositol phosphate metabolism,0.205338809
Purine metabolism,0.19047619
Glycerophospholipid metabolism,0.171232877
Biosynthesis of unsaturated fatty acids,0.171232877
Amino sugar and nucleotide sugar metabolism,0.166666667
