,Enrichment Ratio
Pyrimidine metabolism,2.508960573
Purine metabolism,2.145922747
Taurine and hypotaurine metabolism,1.745200698
Biosynthesis of unsaturated fatty acids,0.775193798
Pantothenate and CoA biosynthesis,0.735294118
Sphingolipid metabolism,0.666666667
Primary bile acid biosynthesis,0.607902736
Glutathione metabolism,0.497512438
Cysteine and methionine metabolism,0.423728814
Fatty acid elongation,0.358422939
Fatty acid degradation,0.358422939
Steroid biosynthesis,0.332225914
Fatty acid biosynthesis,0.296735905
