,Enrichment Ratio
Riboflavin metabolism,1.697792869
Purine metabolism,1.462904911
Pyrimidine metabolism,1.219512195
Taurine and hypotaurine metabolism,0.847457627
Lipoic acid metabolism,0.847457627
Phenylalanine metabolism,0.680272109
Sphingolipid metabolism,0.647249191
Cysteine and methionine metabolism,0.617283951
Arachidonic acid metabolism,0.566037736
alpha-Linolenic acid metabolism,0.523560209
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.485436893
Histidine metabolism,0.425531915
Glycerolipid metabolism,0.425531915
Pentose and glucuronate interconversions,0.377358491
Glycerophospholipid metabolism,0.377358491
Biosynthesis of unsaturated fatty acids,0.377358491
Pantothenate and CoA biosynthesis,0.357142857
Fructose and mannose metabolism,0.340136054
Ether lipid metabolism,0.340136054
Pentose phosphate pathway,0.308641975
Primary bile acid biosynthesis,0.295420975
Glutathione metabolism,0.242718447
"Glycine, serine and threonine metabolism",0.205761317
Arginine and proline metabolism,0.178890877
Fatty acid elongation,0.174216028
Fatty acid degradation,0.174216028
Steroid biosynthesis,0.161812298
Fatty acid biosynthesis,0.144508671
Metabolism of xenobiotics by cytochrome P450,0.1
