,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,13.69863014
"Phenylalanine, tyrosine and tryptophan biosynthesis",10.28806584
Nitrogen metabolism,6.849315068
"Valine, leucine and isoleucine biosynthesis",5.154639175
Histidine metabolism,5.141388175
Ubiquinone and other terpenoid-quinone biosynthesis,4.566210046
Aminoacyl-tRNA biosynthesis,4.273504274
Phenylalanine metabolism,4.115226337
Arginine biosynthesis,2.941176471
Butanoate metabolism,2.739726027
Nicotinate and nicotinamide metabolism,2.739726027
Glycerolipid metabolism,2.570694087
Retinol metabolism,2.421307506
Pentose and glucuronate interconversions,2.283105023
Arginine and proline metabolism,2.164502165
Fructose and mannose metabolism,2.057613169
beta-Alanine metabolism,1.956947162
Pentose phosphate pathway,1.869158879
"Alanine, aspartate and glutamate metabolism",1.468428781
Glutathione metabolism,1.468428781
Porphyrin and chlorophyll metabolism,1.371742112
Glyoxylate and dicarboxylate metabolism,1.285347044
Purine metabolism,1.265822785
"Glycine, serine and threonine metabolism",1.246882793
Arachidonic acid metabolism,1.142857143
Pyrimidine metabolism,1.054852321
Tyrosine metabolism,0.980392157
