,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",11.89060642
"Valine, leucine and isoleucine biosynthesis",5.952380952
Ubiquinone and other terpenoid-quinone biosynthesis,5.291005291
Phenylalanine metabolism,4.761904762
Aminoacyl-tRNA biosynthesis,3.96039604
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,3.401360544
"Glycine, serine and threonine metabolism",2.88184438
Retinol metabolism,2.801120448
Glutathione metabolism,1.697792869
Porphyrin and chlorophyll metabolism,1.584786054
Glyoxylate and dicarboxylate metabolism,1.485884101
Arachidonic acid metabolism,1.321003963
Arginine and proline metabolism,1.251564456
Pyrimidine metabolism,1.219512195
Tyrosine metabolism,1.132502831
Primary bile acid biosynthesis,1.034126163
Purine metabolism,0.729927007
