,Enrichment Ratio
"Neomycin, kanamycin and gentamicin biosynthesis",6.172839506
D-Glutamine and D-glutamate metabolism,4.12371134
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.095975232
Nitrogen metabolism,2.06185567
Aminoacyl-tRNA biosynthesis,1.804123711
Arginine biosynthesis,1.769911504
Pyrimidine metabolism,1.587301587
Histidine metabolism,1.550387597
"Valine, leucine and isoleucine biosynthesis",1.545595054
Taurine and hypotaurine metabolism,1.545595054
Ubiquinone and other terpenoid-quinone biosynthesis,1.375515818
Arginine and proline metabolism,1.302931596
Phenylalanine metabolism,1.237623762
beta-Alanine metabolism,1.176470588
Pentose phosphate pathway,1.123595506
alpha-Linolenic acid metabolism,0.952380952
Glutathione metabolism,0.884955752
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.884955752
Porphyrin and chlorophyll metabolism,0.826446281
Butanoate metabolism,0.826446281
Nicotinate and nicotinamide metabolism,0.826446281
Glycerolipid metabolism,0.775193798
Glyoxylate and dicarboxylate metabolism,0.772200772
"Glycine, serine and threonine metabolism",0.74906367
Retinol metabolism,0.729927007
Pentose and glucuronate interconversions,0.689655172
Starch and sucrose metabolism,0.689655172
Arachidonic acid metabolism,0.687285223
Pantothenate and CoA biosynthesis,0.649350649
Fructose and mannose metabolism,0.617283951
Tyrosine metabolism,0.589970501
Primary bile acid biosynthesis,0.537634409
Glycolysis / Gluconeogenesis,0.476190476
Galactose metabolism,0.458715596
"Alanine, aspartate and glutamate metabolism",0.442477876
Inositol phosphate metabolism,0.41322314
Purine metabolism,0.380952381
Biosynthesis of unsaturated fatty acids,0.343642612
Amino sugar and nucleotide sugar metabolism,0.334448161
Steroid biosynthesis,0.294985251
Steroid hormone biosynthesis,0.145560408
