,Enrichment Ratio
Phosphonate and phosphinate metabolism,3.378378378
D-Glutamine and D-glutamate metabolism,3.378378378
Ascorbate and aldarate metabolism,2.538071066
Lipoic acid metabolism,2.538071066
Sphingolipid metabolism,1.941747573
Glycolysis / Gluconeogenesis,1.5625
"Glycine, serine and threonine metabolism",1.226993865
Pentose and glucuronate interconversions,1.127395716
Glutathione metabolism,0.724637681
Porphyrin and chlorophyll metabolism,0.675675676
Purine metabolism,0.625
Cysteine and methionine metabolism,0.613496933
Glycerophospholipid metabolism,0.564971751
Biosynthesis of unsaturated fatty acids,0.564971751
Amino sugar and nucleotide sugar metabolism,0.549450549
Fatty acid elongation,0.520833333
Fatty acid degradation,0.520833333
Pyrimidine metabolism,0.520833333
Drug metabolism - other enzymes,0.520833333
Tryptophan metabolism,0.495049505
Tyrosine metabolism,0.483091787
Fatty acid biosynthesis,0.431034483
Aminoacyl-tRNA biosynthesis,0.421940928
Metabolism of xenobiotics by cytochrome P450,0.298507463
