,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,6.329113924
Glycolysis / Gluconeogenesis,2.928257687
"Glycine, serine and threonine metabolism",2.306805075
Sphingolipid metabolism,1.811594203
Glutathione metabolism,1.358695652
Porphyrin and chlorophyll metabolism,1.269035533
Cysteine and methionine metabolism,1.153402537
Biosynthesis of unsaturated fatty acids,1.057082452
Fatty acid elongation,0.980392157
Fatty acid degradation,0.980392157
Pyrimidine metabolism,0.980392157
Tryptophan metabolism,0.925925926
Fatty acid biosynthesis,0.806451613
Aminoacyl-tRNA biosynthesis,0.793650794
Purine metabolism,0.584795322
Metabolism of xenobiotics by cytochrome P450,0.558659218
