,Enrichment Ratio
Phosphonate and phosphinate metabolism,5.18134715
D-Glutamine and D-glutamate metabolism,5.18134715
Glycolysis / Gluconeogenesis,2.38948626
"Glycine, serine and threonine metabolism",1.886792453
Sphingolipid metabolism,1.479289941
Glutathione metabolism,1.109877913
Porphyrin and chlorophyll metabolism,1.035196687
Purine metabolism,0.956937799
Cysteine and methionine metabolism,0.943396226
Glycerophospholipid metabolism,0.862068966
Biosynthesis of unsaturated fatty acids,0.862068966
Fatty acid elongation,0.793650794
Fatty acid degradation,0.793650794
Pyrimidine metabolism,0.793650794
Drug metabolism - other enzymes,0.793650794
Tryptophan metabolism,0.757575758
Fatty acid biosynthesis,0.662251656
Aminoacyl-tRNA biosynthesis,0.64516129
Metabolism of xenobiotics by cytochrome P450,0.456621005
