,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",5.249343832
D-Glutamine and D-glutamate metabolism,5.244755245
Phenylalanine metabolism,3.14795383
Aminoacyl-tRNA biosynthesis,2.84463895
Nitrogen metabolism,1.748251748
"Glycine, serine and threonine metabolism",1.592356688
Arginine biosynthesis,1.503759398
Nicotinate and nicotinamide metabolism,1.398601399
Arginine and proline metabolism,1.38121547
Histidine metabolism,1.315789474
Ascorbate and aldarate metabolism,1.312335958
"Valine, leucine and isoleucine biosynthesis",1.312335958
Ubiquinone and other terpenoid-quinone biosynthesis,1.166861144
Vitamin B6 metabolism,1.166861144
"Alanine, aspartate and glutamate metabolism",1.123595506
Glutathione metabolism,1.123595506
Pantothenate and CoA biosynthesis,1.104972376
Caffeine metabolism,1.049317943
Biotin metabolism,1.049317943
beta-Alanine metabolism,1
Glyoxylate and dicarboxylate metabolism,0.983606557
alpha-Linolenic acid metabolism,0.806451613
Tryptophan metabolism,0.767263427
Butanoate metabolism,0.699300699
Porphyrin and chlorophyll metabolism,0.699300699
Glycerolipid metabolism,0.657894737
Pyrimidine metabolism,0.537634409
Fructose and mannose metabolism,0.523560209
Selenocompound metabolism,0.523560209
Sphingolipid metabolism,0.5
Pentose phosphate pathway,0.476190476
Lysine degradation,0.420168067
Galactose metabolism,0.389105058
Phosphatidylinositol signaling system,0.374531835
Inositol phosphate metabolism,0.34965035
Purine metabolism,0.323101777
Cysteine and methionine metabolism,0.318471338
Tyrosine metabolism,0.25
Primary bile acid biosynthesis,0.228310502
Steroid hormone biosynthesis,0.12345679
