,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.521126761
Vitamin B6 metabolism,2.34741784
Biotin metabolism,2.114164905
"Glycine, serine and threonine metabolism",1.923076923
Aminoacyl-tRNA biosynthesis,1.762114537
alpha-Linolenic acid metabolism,1.62601626
"Alanine, aspartate and glutamate metabolism",1.515151515
Pantothenate and CoA biosynthesis,1.112347052
Arginine and proline metabolism,1.111111111
Selenocompound metabolism,1.057082452
beta-Alanine metabolism,1.007049345
Sphingolipid metabolism,1.007049345
Pentose phosphate pathway,0.961538462
Lysine degradation,0.847457627
Glyoxylate and dicarboxylate metabolism,0.662251656
Purine metabolism,0.651465798
Cysteine and methionine metabolism,0.641025641
Pyrimidine metabolism,0.543478261
Tryptophan metabolism,0.515463918
