,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.50877193
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.50877193
Phenylalanine metabolism,2.097902098
Aminoacyl-tRNA biosynthesis,1.900584795
Ascorbate and aldarate metabolism,1.754385965
Riboflavin metabolism,1.754385965
"Glycine, serine and threonine metabolism",1.276595745
Phosphonate and phosphinate metabolism,1.169590643
Nitrogen metabolism,1.169590643
Arginine biosynthesis,1
Nicotinate and nicotinamide metabolism,0.934579439
Arginine and proline metabolism,0.922509225
Histidine metabolism,0.877192982
"Valine, leucine and isoleucine biosynthesis",0.877192982
Taurine and hypotaurine metabolism,0.877192982
Ubiquinone and other terpenoid-quinone biosynthesis,0.78125
Vitamin B6 metabolism,0.78125
"Alanine, aspartate and glutamate metabolism",0.751879699
Glutathione metabolism,0.751879699
Pantothenate and CoA biosynthesis,0.73800738
Caffeine metabolism,0.699300699
Biotin metabolism,0.699300699
beta-Alanine metabolism,0.668896321
Sphingolipid metabolism,0.668896321
Glyoxylate and dicarboxylate metabolism,0.657894737
Lysine degradation,0.561797753
alpha-Linolenic acid metabolism,0.540540541
Tryptophan metabolism,0.512820513
Butanoate metabolism,0.46728972
Porphyrin and chlorophyll metabolism,0.46728972
Primary bile acid biosynthesis,0.457317073
Glycerolipid metabolism,0.438596491
Purine metabolism,0.431499461
Cysteine and methionine metabolism,0.425531915
Pentose and glucuronate interconversions,0.389105058
Pyrimidine metabolism,0.35971223
Fructose and mannose metabolism,0.350877193
Selenocompound metabolism,0.350877193
Pentose phosphate pathway,0.318471338
Galactose metabolism,0.25974026
Phosphatidylinositol signaling system,0.250626566
Inositol phosphate metabolism,0.23364486
Glycerophospholipid metabolism,0.194931774
Amino sugar and nucleotide sugar metabolism,0.189393939
Tyrosine metabolism,0.166944908
Steroid hormone biosynthesis,0.165289256
Fatty acid biosynthesis,0.149253731
