,Enrichment Ratio
Linoleic acid metabolism,1.964636542
Pyrimidine metabolism,1.763224181
Purine metabolism,1.510574018
Lipoic acid metabolism,1.226993865
Arachidonic acid metabolism,1.089918256
Cysteine and methionine metabolism,0.595238095
Retinol metabolism,0.578034682
Biosynthesis of unsaturated fatty acids,0.544959128
Pantothenate and CoA biosynthesis,0.518134715
Ether lipid metabolism,0.490196078
Sphingolipid metabolism,0.46728972
Propanoate metabolism,0.427350427
Glycolysis / Gluconeogenesis,0.377358491
Glutathione metabolism,0.350877193
"Glycine, serine and threonine metabolism",0.297619048
Glycerophospholipid metabolism,0.272479564
Fatty acid elongation,0.251889169
Fatty acid degradation,0.251889169
Tyrosine metabolism,0.23364486
Primary bile acid biosynthesis,0.213675214
Fatty acid biosynthesis,0.208768267
Metabolism of xenobiotics by cytochrome P450,0.144300144
Steroid hormone biosynthesis,0.115473441
