,Enrichment Ratio
Linoleic acid metabolism,2.898550725
"Valine, leucine and isoleucine biosynthesis",1.811594203
Arachidonic acid metabolism,1.209677419
Glycerolipid metabolism,0.909090909
Retinol metabolism,0.854700855
Pantothenate and CoA biosynthesis,0.763358779
Citrate cycle (TCA cycle),0.724637681
Fructose and mannose metabolism,0.724637681
beta-Alanine metabolism,0.689655172
Sphingolipid metabolism,0.689655172
Pentose phosphate pathway,0.657894737
"Alanine, aspartate and glutamate metabolism",0.518134715
Glyoxylate and dicarboxylate metabolism,0.452488688
Biosynthesis of unsaturated fatty acids,0.403225806
Pyrimidine metabolism,0.371747212
"Valine, leucine and isoleucine degradation",0.362318841
Steroid biosynthesis,0.344827586
Purine metabolism,0.223214286
