,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.273504274
Phenylalanine metabolism,2.564102564
"Valine, leucine and isoleucine biosynthesis",2.136752137
Linoleic acid metabolism,1.709401709
Aminoacyl-tRNA biosynthesis,1.247771836
Ascorbate and aldarate metabolism,1.068376068
Ubiquinone and other terpenoid-quinone biosynthesis,0.952380952
Sphingolipid metabolism,0.81300813
Glyoxylate and dicarboxylate metabolism,0.802139037
"Glycine, serine and threonine metabolism",0.777202073
Arachidonic acid metabolism,0.712589074
"Alanine, aspartate and glutamate metabolism",0.611620795
Arginine biosynthesis,0.609756098
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.609756098
Nicotinate and nicotinamide metabolism,0.571428571
Primary bile acid biosynthesis,0.557620818
Glycerolipid metabolism,0.534759358
Cysteine and methionine metabolism,0.518134715
Retinol metabolism,0.502512563
Pantothenate and CoA biosynthesis,0.45045045
Arginine and proline metabolism,0.45045045
Citrate cycle (TCA cycle),0.427350427
Fructose and mannose metabolism,0.427350427
beta-Alanine metabolism,0.406504065
Pentose phosphate pathway,0.389105058
Galactose metabolism,0.316455696
Glutathione metabolism,0.305810398
Phosphatidylinositol signaling system,0.305810398
Inositol phosphate metabolism,0.284900285
Porphyrin and chlorophyll metabolism,0.284900285
Purine metabolism,0.263157895
Biosynthesis of unsaturated fatty acids,0.237529691
Pyrimidine metabolism,0.219298246
"Valine, leucine and isoleucine degradation",0.213675214
Tryptophan metabolism,0.208333333
Steroid biosynthesis,0.203665988
Tyrosine metabolism,0.203665988
