,Enrichment Ratio
Purine metabolism,1.818181818
Pantothenate and CoA biosynthesis,1.379310345
Sphingolipid metabolism,1.25
Pyrimidine metabolism,1.01010101
alpha-Linolenic acid metabolism,1.009081736
Histidine metabolism,0.819672131
"Glycine, serine and threonine metabolism",0.793650794
Cysteine and methionine metabolism,0.793650794
Glycolysis / Gluconeogenesis,0.505050505
Glutathione metabolism,0.469483568
Arachidonic acid metabolism,0.364963504
Biosynthesis of unsaturated fatty acids,0.364963504
Fatty acid elongation,0.336700337
Fatty acid degradation,0.336700337
Tyrosine metabolism,0.3125
Steroid hormone biosynthesis,0.308641975
Fatty acid biosynthesis,0.279329609
Metabolism of xenobiotics by cytochrome P450,0.193050193
