,Enrichment Ratio
Taurine and hypotaurine metabolism,2.237136465
Pantothenate and CoA biosynthesis,1.886792453
Purine metabolism,1.377410468
alpha-Linolenic acid metabolism,1.377410468
Sphingolipid metabolism,0.854700855
Glutathione metabolism,0.641025641
Cysteine and methionine metabolism,0.543478261
Biosynthesis of unsaturated fatty acids,0.497512438
Fatty acid elongation,0.458715596
Fatty acid degradation,0.458715596
Pyrimidine metabolism,0.458715596
Tyrosine metabolism,0.425531915
Steroid hormone biosynthesis,0.421052632
Primary bile acid biosynthesis,0.389105058
Fatty acid biosynthesis,0.381679389
