,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,2.114164905
Taurine and hypotaurine metabolism,1.587301587
Riboflavin metabolism,1.584786054
Histidine metabolism,1.19047619
Pyrimidine metabolism,1.138211382
Purine metabolism,1.078431373
Nitrogen metabolism,1.057082452
Nicotinate and nicotinamide metabolism,0.843881857
Ascorbate and aldarate metabolism,0.793650794
Lipoic acid metabolism,0.793650794
"Glycine, serine and threonine metabolism",0.769230769
Vitamin B6 metabolism,0.704225352
Pentose and glucuronate interconversions,0.704225352
Pantothenate and CoA biosynthesis,0.666666667
Caffeine metabolism,0.632911392
Sphingolipid metabolism,0.604229607
Cysteine and methionine metabolism,0.576923077
alpha-Linolenic acid metabolism,0.487804878
Arginine biosynthesis,0.452488688
Glutathione metabolism,0.452488688
Butanoate metabolism,0.421940928
Fatty acid biosynthesis,0.4048583
Aminoacyl-tRNA biosynthesis,0.396301189
Biosynthesis of unsaturated fatty acids,0.352112676
Tryptophan metabolism,0.309119011
Pentose phosphate pathway,0.288184438
Primary bile acid biosynthesis,0.275862069
Propanoate metabolism,0.275482094
Glycolysis / Gluconeogenesis,0.243902439
"Alanine, aspartate and glutamate metabolism",0.226244344
Steroid hormone biosynthesis,0.223880597
Porphyrin and chlorophyll metabolism,0.21141649
Glyoxylate and dicarboxylate metabolism,0.198019802
Arachidonic acid metabolism,0.176056338
Amino sugar and nucleotide sugar metabolism,0.171526587
Arginine and proline metabolism,0.166944908
Fatty acid elongation,0.162601626
Fatty acid degradation,0.162601626
Tyrosine metabolism,0.151057402
Metabolism of xenobiotics by cytochrome P450,0.093457944
