,Enrichment Ratio
"Neomycin, kanamycin and gentamicin biosynthesis",3.401360544
D-Glutamine and D-glutamate metabolism,3.397508494
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.395585739
Phenylalanine metabolism,2.040816327
Aminoacyl-tRNA biosynthesis,1.699716714
Ascorbate and aldarate metabolism,1.694915254
Sphingolipid metabolism,1.294498382
Histidine metabolism,1.276595745
Phosphonate and phosphinate metabolism,1.132502831
Nitrogen metabolism,1.132502831
Pyrimidine metabolism,1.045296167
Arginine biosynthesis,0.970873786
Purine metabolism,0.940438871
Arginine and proline metabolism,0.894454383
Cysteine and methionine metabolism,0.823045267
Ubiquinone and other terpenoid-quinone biosynthesis,0.757575758
Vitamin B6 metabolism,0.757575758
"Alanine, aspartate and glutamate metabolism",0.72815534
Pantothenate and CoA biosynthesis,0.714285714
Caffeine metabolism,0.680272109
Biotin metabolism,0.680272109
Porphyrin and chlorophyll metabolism,0.678733032
beta-Alanine metabolism,0.647249191
Glyoxylate and dicarboxylate metabolism,0.636942675
Pentose phosphate pathway,0.617283951
"Glycine, serine and threonine metabolism",0.617283951
Glycolysis / Gluconeogenesis,0.522193211
Galactose metabolism,0.503778338
Tryptophan metabolism,0.497512438
Glutathione metabolism,0.485436893
Butanoate metabolism,0.452488688
Nicotinate and nicotinamide metabolism,0.452488688
Inositol phosphate metabolism,0.452488688
Pentose and glucuronate interconversions,0.377358491
Starch and sucrose metabolism,0.377358491
Glycerophospholipid metabolism,0.377358491
Amino sugar and nucleotide sugar metabolism,0.366972477
Selenocompound metabolism,0.340136054
Ether lipid metabolism,0.340136054
Lysine degradation,0.27173913
Phosphatidylinositol signaling system,0.242718447
Arachidonic acid metabolism,0.188679245
Biosynthesis of unsaturated fatty acids,0.188679245
Fatty acid elongation,0.174216028
Fatty acid degradation,0.174216028
Tyrosine metabolism,0.161812298
Primary bile acid biosynthesis,0.147710487
Fatty acid biosynthesis,0.144508671
Steroid hormone biosynthesis,0.08
