,Enrichment Ratio
"Neomycin, kanamycin and gentamicin biosynthesis",6.134969325
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.067484663
Pantothenate and CoA biosynthesis,1.290322581
Caffeine metabolism,1.226993865
Phenylalanine metabolism,1.226993865
Pentose phosphate pathway,1.117318436
Aminoacyl-tRNA biosynthesis,1.023017903
Glycolysis / Gluconeogenesis,0.943396226
"Alanine, aspartate and glutamate metabolism",0.877192982
Purine metabolism,0.754716981
Cysteine and methionine metabolism,0.743494424
Starch and sucrose metabolism,0.680272109
Pyrimidine metabolism,0.628930818
Selenocompound metabolism,0.613496933
Tryptophan metabolism,0.598802395
beta-Alanine metabolism,0.584795322
Sphingolipid metabolism,0.584795322
Galactose metabolism,0.454545455
Inositol phosphate metabolism,0.409836066
Porphyrin and chlorophyll metabolism,0.409836066
"Glycine, serine and threonine metabolism",0.371747212
Arachidonic acid metabolism,0.341296928
Biosynthesis of unsaturated fatty acids,0.341296928
Amino sugar and nucleotide sugar metabolism,0.332225914
Arginine and proline metabolism,0.322580645
Fatty acid elongation,0.314465409
Fatty acid degradation,0.314465409
Fatty acid biosynthesis,0.261096606
