,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,2.222222222
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.219755827
"Neomycin, kanamycin and gentamicin biosynthesis",2.2172949
Phenylalanine metabolism,1.777777778
Aminoacyl-tRNA biosynthesis,1.203703704
Ascorbate and aldarate metabolism,1.111111111
Riboflavin metabolism,1.109877913
Purine metabolism,0.95890411
Sphingolipid metabolism,0.845665962
Histidine metabolism,0.831024931
Pyrimidine metabolism,0.796359499
Glutathione metabolism,0.792393027
Phosphonate and phosphinate metabolism,0.740740741
Nitrogen metabolism,0.740740741
Pantothenate and CoA biosynthesis,0.700934579
Arginine and proline metabolism,0.700934579
Arginine biosynthesis,0.632911392
Pentose phosphate pathway,0.60483871
Taurine and hypotaurine metabolism,0.555555556
Sulfur metabolism,0.555555556
Cysteine and methionine metabolism,0.537634409
Ubiquinone and other terpenoid-quinone biosynthesis,0.492610837
Vitamin B6 metabolism,0.492610837
Pentose and glucuronate interconversions,0.492610837
"Alanine, aspartate and glutamate metabolism",0.475435816
Caffeine metabolism,0.444444444
Biotin metabolism,0.444444444
Porphyrin and chlorophyll metabolism,0.443786982
beta-Alanine metabolism,0.422832981
Glyoxylate and dicarboxylate metabolism,0.416088766
"Glycine, serine and threonine metabolism",0.403225806
Lysine degradation,0.355239787
alpha-Linolenic acid metabolism,0.341296928
Glycolysis / Gluconeogenesis,0.341296928
Galactose metabolism,0.328947368
Tryptophan metabolism,0.324675325
Butanoate metabolism,0.295857988
Nicotinate and nicotinamide metabolism,0.295857988
Inositol phosphate metabolism,0.295857988
Primary bile acid biosynthesis,0.288461538
Glycerolipid metabolism,0.27700831
Glycerophospholipid metabolism,0.246609125
Biosynthesis of unsaturated fatty acids,0.246609125
Starch and sucrose metabolism,0.246305419
Amino sugar and nucleotide sugar metabolism,0.239808153
Fructose and mannose metabolism,0.22172949
Selenocompound metabolism,0.22172949
Ether lipid metabolism,0.22172949
Pyruvate metabolism,0.201612903
Phosphatidylinositol signaling system,0.158478605
Arachidonic acid metabolism,0.123304562
Fatty acid elongation,0.113765643
Fatty acid degradation,0.113765643
Steroid biosynthesis,0.105596621
Tyrosine metabolism,0.105596621
Steroid hormone biosynthesis,0.104166667
Fatty acid biosynthesis,0.094339623
