,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",6.622516556
Phenylalanine metabolism,2.645502646
Aminoacyl-tRNA biosynthesis,2.203856749
Ascorbate and aldarate metabolism,1.655629139
"Valine, leucine and isoleucine biosynthesis",1.655629139
Ubiquinone and other terpenoid-quinone biosynthesis,1.470588235
Biotin metabolism,1.322751323
beta-Alanine metabolism,1.257861635
Sphingolipid metabolism,1.257861635
"Glycine, serine and threonine metabolism",1.204819277
alpha-Linolenic acid metabolism,1.018329939
Arginine biosynthesis,0.943396226
Histidine metabolism,0.826446281
Glycerophospholipid metabolism,0.735294118
Biosynthesis of unsaturated fatty acids,0.735294118
Arginine and proline metabolism,0.696864111
Pantothenate and CoA biosynthesis,0.694444444
Selenocompound metabolism,0.662251656
Ether lipid metabolism,0.662251656
Tryptophan metabolism,0.64516129
Pentose phosphate pathway,0.602409639
Lysine degradation,0.529100529
Galactose metabolism,0.490196078
"Alanine, aspartate and glutamate metabolism",0.471698113
Phosphatidylinositol signaling system,0.471698113
Inositol phosphate metabolism,0.440528634
Glyoxylate and dicarboxylate metabolism,0.41322314
Purine metabolism,0.407331976
Cysteine and methionine metabolism,0.401606426
Fatty acid elongation,0.338983051
Fatty acid degradation,0.338983051
Pyrimidine metabolism,0.338983051
N-Glycan biosynthesis,0.322580645
Tyrosine metabolism,0.315457413
Steroid hormone biosynthesis,0.31152648
Primary bile acid biosynthesis,0.287356322
Fatty acid biosynthesis,0.281690141
