,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",6.079027356
Phenylalanine metabolism,2.436053593
Aminoacyl-tRNA biosynthesis,2.284263959
Ascorbate and aldarate metabolism,1.522070015
"Valine, leucine and isoleucine biosynthesis",1.522070015
Taurine and hypotaurine metabolism,1.522070015
Ubiquinone and other terpenoid-quinone biosynthesis,1.353179973
Vitamin B6 metabolism,1.353179973
Biotin metabolism,1.218026797
beta-Alanine metabolism,1.162790698
Sphingolipid metabolism,1.162790698
"Glycine, serine and threonine metabolism",1.10701107
alpha-Linolenic acid metabolism,0.934579439
Arginine biosynthesis,0.869565217
Histidine metabolism,0.763358779
Cysteine and methionine metabolism,0.73800738
Glycerophospholipid metabolism,0.675675676
Biosynthesis of unsaturated fatty acids,0.675675676
Pantothenate and CoA biosynthesis,0.641025641
Arginine and proline metabolism,0.641025641
Pyrimidine metabolism,0.625
Selenocompound metabolism,0.609756098
Ether lipid metabolism,0.609756098
Tryptophan metabolism,0.59347181
Pentose phosphate pathway,0.552486188
Primary bile acid biosynthesis,0.529100529
Lysine degradation,0.487804878
Galactose metabolism,0.45045045
"Alanine, aspartate and glutamate metabolism",0.434782609
Phosphatidylinositol signaling system,0.434782609
Inositol phosphate metabolism,0.406504065
Glyoxylate and dicarboxylate metabolism,0.380228137
Purine metabolism,0.374531835
Fatty acid elongation,0.3125
Fatty acid degradation,0.3125
N-Glycan biosynthesis,0.296735905
Tyrosine metabolism,0.289855072
Steroid hormone biosynthesis,0.286532951
Fatty acid biosynthesis,0.259067358
