,Enrichment Ratio
Ascorbate and aldarate metabolism,3.731343284
alpha-Linolenic acid metabolism,2.293577982
Glycerophospholipid metabolism,1.652892562
Pantothenate and CoA biosynthesis,1.569858713
Ether lipid metabolism,1.492537313
beta-Alanine metabolism,1.420454545
Galactose metabolism,1.104972376
Phosphatidylinositol signaling system,1.066098081
Inositol phosphate metabolism,0.99009901
Purine metabolism,0.917431193
"Glycine, serine and threonine metabolism",0.900900901
Biosynthesis of unsaturated fatty acids,0.826446281
Fatty acid elongation,0.763358779
Fatty acid degradation,0.763358779
Pyrimidine metabolism,0.763358779
Tryptophan metabolism,0.729927007
N-Glycan biosynthesis,0.729927007
Primary bile acid biosynthesis,0.649350649
Fatty acid biosynthesis,0.636942675
