,Enrichment Ratio
Ascorbate and aldarate metabolism,3.521126761
Taurine and hypotaurine metabolism,3.521126761
alpha-Linolenic acid metabolism,2.169197397
Glycerophospholipid metabolism,1.5625
Pantothenate and CoA biosynthesis,1.483679525
Ether lipid metabolism,1.408450704
beta-Alanine metabolism,1.342281879
Primary bile acid biosynthesis,1.226993865
Galactose metabolism,1.043841336
Phosphatidylinositol signaling system,1.007049345
Inositol phosphate metabolism,0.943396226
Purine metabolism,0.865800866
"Glycine, serine and threonine metabolism",0.854700855
Biosynthesis of unsaturated fatty acids,0.78125
Fatty acid elongation,0.724637681
Fatty acid degradation,0.724637681
Pyrimidine metabolism,0.724637681
Tryptophan metabolism,0.689655172
N-Glycan biosynthesis,0.689655172
Fatty acid biosynthesis,0.598802395
