,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",4.395604396
Phenylalanine metabolism,3.50877193
D-Glutamine and D-glutamate metabolism,2.93255132
Aminoacyl-tRNA biosynthesis,2.380952381
Nitrogen metabolism,1.46627566
Arginine biosynthesis,1.257861635
Arginine and proline metabolism,1.157407407
Ascorbate and aldarate metabolism,1.100110011
"Valine, leucine and isoleucine biosynthesis",1.100110011
Histidine metabolism,1.098901099
"Glycine, serine and threonine metabolism",1.066666667
Ubiquinone and other terpenoid-quinone biosynthesis,0.980392157
"Alanine, aspartate and glutamate metabolism",0.943396226
Caffeine metabolism,0.877192982
Biotin metabolism,0.877192982
beta-Alanine metabolism,0.836820084
Sphingolipid metabolism,0.836820084
Glyoxylate and dicarboxylate metabolism,0.824175824
alpha-Linolenic acid metabolism,0.675675676
Tryptophan metabolism,0.643776824
Glutathione metabolism,0.628930818
Butanoate metabolism,0.588235294
Nicotinate and nicotinamide metabolism,0.588235294
Porphyrin and chlorophyll metabolism,0.586510264
Glycerophospholipid metabolism,0.488997555
Biosynthesis of unsaturated fatty acids,0.488997555
Pantothenate and CoA biosynthesis,0.462962963
Selenocompound metabolism,0.440528634
Ether lipid metabolism,0.440528634
Pentose phosphate pathway,0.4
Primary bile acid biosynthesis,0.382409178
Lysine degradation,0.352112676
Galactose metabolism,0.325732899
Phosphatidylinositol signaling system,0.314465409
Inositol phosphate metabolism,0.293255132
Purine metabolism,0.270635995
Cysteine and methionine metabolism,0.266666667
Fatty acid elongation,0.225733634
Fatty acid degradation,0.225733634
Pyrimidine metabolism,0.225733634
N-Glycan biosynthesis,0.214592275
Tyrosine metabolism,0.209643606
Steroid hormone biosynthesis,0.207039337
Fatty acid biosynthesis,0.187265918
