,Enrichment Ratio
Linoleic acid metabolism,1.552795031
Arachidonic acid metabolism,1.50862069
Pyrimidine metabolism,1.394422311
Purine metabolism,1.314217443
Glycerolipid metabolism,0.485436893
Retinol metabolism,0.456621005
Fructose and mannose metabolism,0.387596899
Sphingolipid metabolism,0.37037037
Cysteine and methionine metabolism,0.235294118
Glycerophospholipid metabolism,0.215517241
Biosynthesis of unsaturated fatty acids,0.215517241
Steroid hormone biosynthesis,0.183486239
Primary bile acid biosynthesis,0.168918919
Fatty acid biosynthesis,0.165289256
