,Enrichment Ratio
Ascorbate and aldarate metabolism,1.697792869
Phenylalanine metabolism,1.358695652
Histidine metabolism,0.847457627
"Glycine, serine and threonine metabolism",0.823045267
Cysteine and methionine metabolism,0.823045267
Pantothenate and CoA biosynthesis,0.714285714
beta-Alanine metabolism,0.64516129
Sphingolipid metabolism,0.64516129
Pentose phosphate pathway,0.617283951
Glycolysis / Gluconeogenesis,0.523560209
Galactose metabolism,0.502512563
Phosphatidylinositol signaling system,0.485436893
Inositol phosphate metabolism,0.452488688
Arginine and proline metabolism,0.357142857
Pyrimidine metabolism,0.348432056
Tryptophan metabolism,0.331125828
Steroid biosynthesis,0.323624595
Purine metabolism,0.209205021
