,Enrichment Ratio
Ascorbate and aldarate metabolism,3.021148036
Pantothenate and CoA biosynthesis,1.272264631
beta-Alanine metabolism,1.150747986
Sphingolipid metabolism,1.150747986
Pentose phosphate pathway,1.097694841
Glycolysis / Gluconeogenesis,0.925925926
Galactose metabolism,0.892857143
Phosphatidylinositol signaling system,0.862068966
Inositol phosphate metabolism,0.806451613
Porphyrin and chlorophyll metabolism,0.806451613
"Glycine, serine and threonine metabolism",0.729927007
Cysteine and methionine metabolism,0.729927007
Pyrimidine metabolism,0.621118012
Steroid biosynthesis,0.574712644
