,Enrichment Ratio
"Neomycin, kanamycin and gentamicin biosynthesis",3.215434084
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.210272873
Phenylalanine metabolism,1.923076923
Ascorbate and aldarate metabolism,1.6
Phosphonate and phosphinate metabolism,1.070663812
Cysteine and methionine metabolism,0.972762646
"Valine, leucine and isoleucine biosynthesis",0.8
Lipoic acid metabolism,0.8
"Glycine, serine and threonine metabolism",0.778210117
Ubiquinone and other terpenoid-quinone biosynthesis,0.714285714
Aminoacyl-tRNA biosynthesis,0.669344043
Sphingolipid metabolism,0.611620795
Purine metabolism,0.594059406
Pentose phosphate pathway,0.583090379
alpha-Linolenic acid metabolism,0.495049505
Pyrimidine metabolism,0.494233937
Glycolysis / Gluconeogenesis,0.49382716
Galactose metabolism,0.476190476
Arginine biosynthesis,0.458715596
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.458715596
Inositol phosphate metabolism,0.428265525
Porphyrin and chlorophyll metabolism,0.428265525
Butanoate metabolism,0.427350427
Histidine metabolism,0.401606426
Glycerolipid metabolism,0.401606426
Glyoxylate and dicarboxylate metabolism,0.401606426
Pentose and glucuronate interconversions,0.357142857
Starch and sucrose metabolism,0.357142857
Arachidonic acid metabolism,0.356506239
Biosynthesis of unsaturated fatty acids,0.356506239
Amino sugar and nucleotide sugar metabolism,0.347222222
Pantothenate and CoA biosynthesis,0.337837838
Arginine and proline metabolism,0.337837838
Citrate cycle (TCA cycle),0.321543408
Fructose and mannose metabolism,0.321543408
Tryptophan metabolism,0.313479624
beta-Alanine metabolism,0.305810398
Propanoate metabolism,0.279329609
"Alanine, aspartate and glutamate metabolism",0.229357798
Glutathione metabolism,0.229357798
Phosphatidylinositol signaling system,0.229357798
Glycerophospholipid metabolism,0.178253119
"Valine, leucine and isoleucine degradation",0.160513644
Steroid biosynthesis,0.152905199
Tyrosine metabolism,0.152905199
Primary bile acid biosynthesis,0.139664804
Fatty acid biosynthesis,0.136612022
Metabolism of xenobiotics by cytochrome P450,0.094339623
