,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,4.22832981
Purine metabolism,2.1484375
Nitrogen metabolism,2.114164905
Pyrimidine metabolism,1.628664495
Taurine and hypotaurine metabolism,1.584786054
Arginine biosynthesis,0.909090909
Glutathione metabolism,0.904977376
Butanoate metabolism,0.847457627
Nicotinate and nicotinamide metabolism,0.847457627
Histidine metabolism,0.793650794
Pantothenate and CoA biosynthesis,0.666666667
Arginine and proline metabolism,0.666666667
Sphingolipid metabolism,0.602409639
Primary bile acid biosynthesis,0.550964187
"Alanine, aspartate and glutamate metabolism",0.452488688
Porphyrin and chlorophyll metabolism,0.421940928
Glyoxylate and dicarboxylate metabolism,0.396825397
"Glycine, serine and threonine metabolism",0.384615385
Steroid biosynthesis,0.302114804
Tyrosine metabolism,0.302114804
Steroid hormone biosynthesis,0.298507463
Aminoacyl-tRNA biosynthesis,0.264550265
