,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,2.306805075
Riboflavin metabolism,1.730103806
Taurine and hypotaurine metabolism,1.724137931
Linoleic acid metabolism,1.383125864
Purine metabolism,1.170212766
Nitrogen metabolism,1.153402537
Pyrimidine metabolism,1.063829787
Nicotinate and nicotinamide metabolism,0.921658986
Histidine metabolism,0.865800866
Vitamin B6 metabolism,0.769230769
Sphingolipid metabolism,0.657894737
Arginine and proline metabolism,0.546448087
Arginine biosynthesis,0.495049505
Glutathione metabolism,0.49382716
Butanoate metabolism,0.460829493
Primary bile acid biosynthesis,0.45112782
Aminoacyl-tRNA biosynthesis,0.432276657
"Glycine, serine and threonine metabolism",0.419287212
Pentose and glucuronate interconversions,0.384615385
Pantothenate and CoA biosynthesis,0.363636364
beta-Alanine metabolism,0.328947368
Pentose phosphate pathway,0.314465409
Fatty acid biosynthesis,0.29455081
Lysine degradation,0.27700831
"Alanine, aspartate and glutamate metabolism",0.24691358
Steroid hormone biosynthesis,0.243902439
Porphyrin and chlorophyll metabolism,0.230414747
Glyoxylate and dicarboxylate metabolism,0.215982721
Biosynthesis of unsaturated fatty acids,0.192307692
Fatty acid elongation,0.177304965
Fatty acid degradation,0.177304965
Tryptophan metabolism,0.168634064
Steroid biosynthesis,0.164744646
Tyrosine metabolism,0.164744646
