,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",3.367003367
Riboflavin metabolism,3.367003367
Phenylalanine metabolism,2.69541779
Linoleic acid metabolism,2.69541779
Ascorbate and aldarate metabolism,1.683501684
"Valine, leucine and isoleucine biosynthesis",1.683501684
Ubiquinone and other terpenoid-quinone biosynthesis,1.497005988
Aminoacyl-tRNA biosynthesis,1.404494382
"Glycine, serine and threonine metabolism",1.224489796
Arachidonic acid metabolism,1.123595506
Galactose metabolism,1
Cysteine and methionine metabolism,0.816326531
Retinol metabolism,0.793650794
Starch and sucrose metabolism,0.746268657
Pantothenate and CoA biosynthesis,0.709219858
Selenocompound metabolism,0.675675676
beta-Alanine metabolism,0.641025641
Sphingolipid metabolism,0.641025641
"Alanine, aspartate and glutamate metabolism",0.480769231
Phosphatidylinositol signaling system,0.480769231
Inositol phosphate metabolism,0.448430493
Glyoxylate and dicarboxylate metabolism,0.420168067
Purine metabolism,0.414078675
Biosynthesis of unsaturated fatty acids,0.374531835
Arginine and proline metabolism,0.354609929
Pyrimidine metabolism,0.344827586
Tryptophan metabolism,0.328947368
Tyrosine metabolism,0.320512821
Steroid hormone biosynthesis,0.158478605
