,Enrichment Ratio
"Phenylalanine, tyrosine and tryptophan biosynthesis",2.551020408
Riboflavin metabolism,2.551020408
Linoleic acid metabolism,2.044989775
Phenylalanine metabolism,2.042900919
Phosphonate and phosphinate metabolism,1.703577513
Ascorbate and aldarate metabolism,1.277139208
"Valine, leucine and isoleucine biosynthesis",1.277139208
Taurine and hypotaurine metabolism,1.277139208
Ubiquinone and other terpenoid-quinone biosynthesis,1.13507378
Aminoacyl-tRNA biosynthesis,1.063829787
"Glycine, serine and threonine metabolism",0.92879257
Arachidonic acid metabolism,0.852272727
Galactose metabolism,0.757575758
Cysteine and methionine metabolism,0.619195046
Retinol metabolism,0.602409639
Starch and sucrose metabolism,0.568181818
Pantothenate and CoA biosynthesis,0.537634409
Pyrimidine metabolism,0.523560209
Selenocompound metabolism,0.510204082
beta-Alanine metabolism,0.485436893
Sphingolipid metabolism,0.485436893
Purine metabolism,0.471698113
"Alanine, aspartate and glutamate metabolism",0.364963504
Phosphatidylinositol signaling system,0.364963504
Inositol phosphate metabolism,0.340136054
Glyoxylate and dicarboxylate metabolism,0.319488818
Glycerophospholipid metabolism,0.284090909
Biosynthesis of unsaturated fatty acids,0.284090909
Arginine and proline metabolism,0.268817204
Tryptophan metabolism,0.249376559
Steroid biosynthesis,0.243309002
Tyrosine metabolism,0.243309002
Primary bile acid biosynthesis,0.222222222
Metabolism of xenobiotics by cytochrome P450,0.15015015
Steroid hormone biosynthesis,0.120192308
