,Enrichment Ratio
D-Glutamine and D-glutamate metabolism,3.231017771
Purine metabolism,1.641791045
Nitrogen metabolism,1.615508885
Pyrimidine metabolism,1.492537313
Arginine biosynthesis,0.694444444
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.694444444
Glutathione metabolism,0.692041522
Butanoate metabolism,0.64516129
Histidine metabolism,0.606060606
Glycerophospholipid metabolism,0.539083558
Arachidonic acid metabolism,0.539083558
Pentose and glucuronate interconversions,0.537634409
Pantothenate and CoA biosynthesis,0.510204082
Arginine and proline metabolism,0.510204082
Ether lipid metabolism,0.485436893
Sphingolipid metabolism,0.460829493
Pentose phosphate pathway,0.440528634
"Alanine, aspartate and glutamate metabolism",0.346020761
Porphyrin and chlorophyll metabolism,0.323624595
Glyoxylate and dicarboxylate metabolism,0.303030303
"Glycine, serine and threonine metabolism",0.294117647
Cysteine and methionine metabolism,0.294117647
Biosynthesis of unsaturated fatty acids,0.269541779
Tryptophan metabolism,0.236406619
Primary bile acid biosynthesis,0.210526316
Aminoacyl-tRNA biosynthesis,0.202020202
Steroid hormone biosynthesis,0.114025086
